round,test_accuracy
1,10.1
2,12.74
3,14.13
4,21.1
5,39.200001
6,25.530001
7,35.860001
8,27.450001
9,37.450001
10,33.25
11,45.34
12,40.439999
13,44.630001
14,48.48
15,47.860001
16,51.560001
17,50.029999
18,39.619999
19,47.450001
20,46.130001
21,52.900002
22,59.59
23,50.73
24,55.380001
25,57.349998
26,54.709999
27,55.59
28,54.580002
29,51.380001
30,57.099998
31,59.209999
32,61.259998
33,58.990002
34,66.949997
35,56.439999
36,57.32
37,64.279999
38,60.810001
39,59.299999
40,66.279999
41,67.559998
42,60.830002
43,61.240002
44,60.610001
45,57.310001
46,66.220001
47,62.959999
48,63.68
49,61.099998
50,62.91
51,60.389999
52,64.129997
53,63.689999
54,53.990002
55,66.779999
56,65.800003
57,62.220001
58,49.759998
59,63.470001
60,67.059998
61,67.239998
62,66.099998
63,66.260002
64,64.800003
65,65.279999
66,66.309998
67,64.410004
68,58.860001
69,69.050003
70,62.830002
71,61.630001
72,66.099998
73,66.980003
74,66.099998
75,71.260002
76,61.540001
77,65.019997
78,67.150002
79,66.650002
80,68.160004
81,65.290001
82,66.760002
83,67.410004
84,64.449997
85,66.650002
86,66.860001
87,66.279999
88,70.349998
89,71.480003
90,68.889999
91,68.199997
92,68.199997
93,64.110001
94,68.699997
95,68.970001
96,68.0
97,66.870003
98,64.690002
99,64.730003
100,62.970001
101,66.849998
102,70.879997
103,71.800003
104,70.5
105,70.260002
106,67.57
107,58.630001
108,69.400002
109,70.870003
110,71.010002
111,71.209999
112,70.589996
113,69.959999
114,67.610001
115,64.610001
116,70.709999
117,64.199997
118,68.720001
119,64.879997
120,68.669998
121,72.5
122,67.0
123,69.730003
124,61.790001
125,62.459999
126,64.239998
127,70.360001
128,68.919998
129,72.279999
130,67.419998
131,66.190002
132,72.269997
133,67.949997
134,71.330002
135,67.660004
136,63.73
137,71.540001
138,73.099998
139,70.839996
140,71.510002
141,72.019997
142,63.93
143,61.66
144,72.199997
145,67.970001
146,62.799999
147,71.290001
148,71.599998
149,68.830002
150,72.519997
151,63.939999
152,63.580002
153,71.709999
154,73.120003
155,70.760002
156,70.849998
157,63.369999
158,70.910004
159,70.209999
160,70.510002
161,72.440002
162,70.739998
163,66.540001
164,70.050003
165,72.559998
166,71.360001
167,67.849998
168,70.599998
169,71.690002
170,70.779999
171,66.269997
172,68.68
173,67.309998
174,67.25
175,71.080002
176,71.300003
177,67.989998
178,69.029999
179,72.970001
180,72.029999
181,70.860001
182,65.599998
183,73.419998
184,71.599998
185,70.769997
186,68.949997
187,66.559998
188,72.370003
189,65.849998
190,68.68
191,62.209999
192,68.800003
193,72.779999
194,69.589996
195,71.879997
196,73.559998
197,66.519997
198,69.419998
199,63.759998
200,56.740002
201,68.610001
202,71.129997
203,62.740002
204,71.010002
205,67.809998
206,72.209999
207,67.800003
208,66.290001
209,71.980003
210,71.879997
211,67.349998
212,75.139999
213,72.739998
214,73.330002
215,73.480003
216,72.339996
217,61.560001
218,72.550003
219,70.529999
220,71.410004
221,69.120003
222,63.259998
223,74.019997
224,72.900002
225,64.809998
226,66.860001
227,70.190002
228,59.630001
229,68.190002
230,72.970001
231,70.800003
232,72.980003
233,69.93
234,69.57
235,64.050003
236,73.910004
237,70.150002
238,69.839996
239,72.699997
240,64.489998
241,70.639999
242,73.169998
243,70.290001
244,70.120003
245,74.269997
246,73.68
247,48.860001
248,68.050003
249,67.550003
250,71.110001
251,72.309998
252,70.269997
253,66.580002
254,66.75
255,74.160004
256,69.050003
257,69.010002
258,69.629997
259,69.940002
260,73.269997
261,72.120003
262,74.389999
263,69.239998
264,71.5
265,71.110001
266,71.18
267,70.110001
268,61.16
269,69.43
270,63.970001
271,66.980003
272,65.879997
273,60.59
274,59.16
275,71.410004
276,65.139999
277,73.470001
278,70.239998
279,74.120003
280,72.529999
281,71.529999
282,68.629997
283,72.970001
284,72.989998
285,73.860001
286,69.019997
287,71.879997
288,72.82
289,70.57
290,74.629997
291,72.309998
292,71.830002
293,70.459999
294,68.940002
295,54.82
296,70.68
297,73.620003
298,67.860001
299,69.349998
300,73.120003
301,73.660004
302,63.73
303,70.769997
304,69.93
305,73.449997
306,70.760002
307,68.099998
308,68.699997
309,71.160004
310,75.099998
311,74.800003
312,70.860001
