run,metric,stage_left,stage_right,common_targets,pearson_r,pearson_p,spearman_r,spearman_p
probe_0.2,recovery_pull_score_all,rounds_1_150,rounds_151_300,89,0.18921580277183975,,0.23685733741913517,
probe_0.2,recovery_pull_score_all,rounds_1_150,rounds_301_500,96,0.13734139036432463,,0.21416169289202389,
probe_0.2,recovery_pull_score_all,rounds_151_300,rounds_301_500,91,0.4000330792437269,,0.4220098741837872,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_1_150,rounds_151_300,89,0.3556547046892143,,0.3539325842696629,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_1_150,rounds_301_500,96,0.21075946406042362,,0.1590748779164406,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_151_300,rounds_301_500,91,0.18010112886136037,,0.1190157668418538,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_all,rounds_1_150,rounds_151_300,89,0.07066046253786859,,0.06319373510384746,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_all,rounds_1_150,rounds_301_500,96,0.1120689223585237,,0.09972870320130223,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_all,rounds_151_300,rounds_301_500,91,-0.018489121618438336,,-0.02884217232043319,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_all,rounds_1_150,rounds_151_300,89,0.1883542129423522,,0.1953183520599251,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_all,rounds_1_150,rounds_301_500,96,0.08816748555545831,,0.0361096039066739,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_all,rounds_151_300,rounds_301_500,91,0.16391112875052044,,0.12887402452619845,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_all,rounds_1_150,rounds_151_300,89,0.1319835082562561,,0.10549880830779707,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_all,rounds_1_150,rounds_301_500,96,0.21356200106048667,,0.1760851871947911,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_all,rounds_151_300,rounds_301_500,91,0.20131202921597843,,0.17058448797579231,
probe_0.2,recovery_pull_score_conv,rounds_1_150,rounds_151_300,89,0.16888341799698253,,0.20813755532856656,
probe_0.2,recovery_pull_score_conv,rounds_1_150,rounds_301_500,96,0.128309768562956,,0.19837221920781334,
probe_0.2,recovery_pull_score_conv,rounds_151_300,rounds_301_500,91,0.39568760705704004,,0.41258162127727344,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_conv,rounds_1_150,rounds_151_300,89,0.14153375311466057,,0.17024174327545114,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_conv,rounds_1_150,rounds_301_500,96,0.06874226851409586,,0.02387411828540423,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_conv,rounds_151_300,rounds_301_500,91,0.1282571152449105,,0.07642936773371556,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_conv,rounds_1_150,rounds_151_300,89,0.2238333355725745,,0.20134490977187605,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_conv,rounds_1_150,rounds_301_500,96,0.13154678272315717,,0.11022788931090613,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_conv,rounds_151_300,rounds_301_500,91,0.03539390707446098,,-0.02132505175983437,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_conv,rounds_1_150,rounds_151_300,89,0.03810165560256139,,0.03811712631937351,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_conv,rounds_1_150,rounds_301_500,96,-0.018821243384508857,,-0.06119099294628323,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_conv,rounds_151_300,rounds_301_500,91,0.11063059724308545,,0.08756171364867017,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_conv,rounds_1_150,rounds_151_300,89,0.15330080310435776,,0.13915560095335378,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_conv,rounds_1_150,rounds_301_500,96,0.22528083190271778,,0.1731958762886598,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_conv,rounds_151_300,rounds_301_500,91,0.2172918125846224,,0.20630673674151934,
probe_0.2,recovery_pull_score_classifier,rounds_1_150,rounds_151_300,89,0.4126893189053537,,0.4377425944841675,
probe_0.2,recovery_pull_score_classifier,rounds_1_150,rounds_301_500,96,0.17143272140658297,,0.17411828540423224,
probe_0.2,recovery_pull_score_classifier,rounds_151_300,rounds_301_500,91,0.2813221206318282,,0.23346074215639434,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_classifier,rounds_1_150,rounds_151_300,89,0.6372833186771302,,0.6194586312563841,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_classifier,rounds_1_150,rounds_301_500,96,0.5388569757779085,,0.49692078133478024,
probe_0.2,cos_WBA_minus_WB__WA_minus_Wt_classifier,rounds_151_300,rounds_301_500,91,0.4688189404933865,,0.46190476190476193,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_classifier,rounds_1_150,rounds_151_300,89,0.030257743838180435,,0.041504937010554986,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_classifier,rounds_1_150,rounds_301_500,96,0.06035273574069201,,0.08884970157352143,
probe_0.2,cos_WBA_minus_WB__WB_minus_Wt_classifier,rounds_151_300,rounds_301_500,91,0.10606083615891775,,0.11393534002229655,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_classifier,rounds_1_150,rounds_151_300,89,0.6361068852262781,,0.6723357167177392,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_classifier,rounds_1_150,rounds_301_500,96,0.5239020336452751,,0.48495659251220835,
probe_0.2,cos_WBA_minus_Wt__WA_minus_Wt_classifier,rounds_151_300,rounds_301_500,91,0.5217296198413265,,0.533221850613155,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_classifier,rounds_1_150,rounds_151_300,89,-0.08017061112414335,,0.018913857677902622,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_classifier,rounds_1_150,rounds_301_500,96,-0.006330741936822706,,0.015097666847531199,
probe_0.2,cos_WBA_minus_Wt__WB_minus_Wt_classifier,rounds_151_300,rounds_301_500,91,0.06650155576014022,,0.06088549132027393,
probe_0.5,recovery_pull_score_all,rounds_1_150,rounds_151_300,100,0.43810064633353524,,0.517059705970597,
probe_0.5,recovery_pull_score_all,rounds_1_150,rounds_301_500,100,0.4460667317841811,,0.39084308430843084,
probe_0.5,recovery_pull_score_all,rounds_151_300,rounds_301_500,100,0.5219336108222976,,0.5351815181518151,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_1_150,rounds_151_300,100,0.40738868044564824,,0.3435103510351035,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_1_150,rounds_301_500,100,0.4579287620927259,,0.3446264626462646,
