run,scope,metric,target_count,between_client_variance_of_target_means,pooled_within_client_event_variance,between_to_within_ratio,descriptive_icc,target_partial_r2_controlling_donor_type_and_stage,donor_type_partial_r2_controlling_target_and_stage
probe_0.2,all,recovery_pull_score_all,100,0.028268588463347812,0.1541080590768796,0.18343355067008865,-0.6899977179686613,0.15962171430305921,0.007980319165731284
probe_0.2,all,cos_WBA_minus_WB__WA_minus_Wt_all,100,0.00303823115311772,0.019953620268300137,0.1522646573536577,-0.7357123532655155,0.12678544024109445,0.02142629664892914
probe_0.2,all,cos_WBA_minus_WB__WB_minus_Wt_all,100,0.00023530763737874085,0.0016207466026057315,0.1451847173397917,-0.7464431455616195,0.1449877534407729,0.05596337499069191
probe_0.2,all,cos_WBA_minus_Wt__WA_minus_Wt_all,100,0.00243465473818071,0.018479407113726583,0.13174961313408362,-0.7671753334746233,0.10907876232888965,0.031098280710006133
probe_0.2,all,cos_WBA_minus_Wt__WB_minus_Wt_all,100,0.006776489405583178,0.03614397319658128,0.18748601236302764,-0.6842303649708825,0.19165971078928704,0.0466392882429478
probe_0.2,conv,recovery_pull_score_conv,100,0.028277123017677756,0.15500914353671902,0.1824222905339735,-0.6914430791868903,0.1587402034678705,0.00811092652554935
probe_0.2,conv,cos_WBA_minus_WB__WA_minus_Wt_conv,100,0.0026755971469057255,0.021018946762960126,0.12729453940197893,-0.7741592193473984,0.10340065442006771,0.021670000971503914
probe_0.2,conv,cos_WBA_minus_WB__WB_minus_Wt_conv,100,0.00012920645484908384,0.0007450220035750161,0.1734263608713324,-0.7044103206569282,0.15786966708094868,0.03494238259350202
probe_0.2,conv,cos_WBA_minus_Wt__WA_minus_Wt_conv,100,0.0022551878471400114,0.019484721635330438,0.11574134285043206,-0.792530152992731,0.09402465185300837,0.029418926128591122
probe_0.2,conv,cos_WBA_minus_Wt__WB_minus_Wt_conv,100,0.007170838566191647,0.03676132277400848,0.1950647589662273,-0.6735494750343652,0.20140837880099574,0.04179251956470522
probe_0.2,classifier,recovery_pull_score_classifier,100,0.03092996381242486,0.20684028275518856,0.14953549376565523,-0.7398331855316517,0.13656488173459375,0.008967840640472109
probe_0.2,classifier,cos_WBA_minus_WB__WA_minus_Wt_classifier,100,0.012959131410552917,0.034709464211859095,0.3733601686114533,-0.4562822234913918,0.29148434865448397,0.021422909885683596
probe_0.2,classifier,cos_WBA_minus_WB__WB_minus_Wt_classifier,100,0.006043006300104907,0.03640343888885573,0.16600097365952057,-0.715264433890612,0.1496482706345045,0.026282877188144278
probe_0.2,classifier,cos_WBA_minus_Wt__WA_minus_Wt_classifier,100,0.011221793609296895,0.0244925782549298,0.4581711852666308,-0.3715810737504693,0.3323085637432413,0.03244618611971364
probe_0.2,classifier,cos_WBA_minus_Wt__WB_minus_Wt_classifier,100,0.012015576539240319,0.09209798668177108,0.13046513797047593,-0.7691832616710321,0.12459714931671366,0.01553809718955485
probe_0.5,all,recovery_pull_score_all,100,0.02386144537152307,0.2403245961997645,0.09928840305504465,-0.8193587728586764,0.10359996229971134,0.004163550592624465
probe_0.5,all,cos_WBA_minus_WB__WA_minus_Wt_all,100,0.002381278608944976,0.01946338688362346,0.1223465691343057,-0.7819807669057613,0.10767511795116395,0.020062504472712444
probe_0.5,all,cos_WBA_minus_WB__WB_minus_Wt_all,100,0.00013296079431303107,0.0017334387352348484,0.07670348631906934,-0.8575216161298115,0.07148445763717297,0.041606004304451424
probe_0.5,all,cos_WBA_minus_Wt__WA_minus_Wt_all,100,0.0017089724194589476,0.01824040325760957,0.0936915919743164,-0.8286690824692442,0.08801521559262165,0.02959859129987258
probe_0.5,all,cos_WBA_minus_Wt__WB_minus_Wt_all,100,0.0047397668181972845,0.039157824665284176,0.12104264878634537,-0.7840534453932012,0.12035299479654124,0.04054146951191817
probe_0.5,conv,recovery_pull_score_conv,100,0.02361811992003278,0.24253920926716513,0.09737856403257512,-0.8225251208211416,0.10165696648995944,0.004221563980633888
probe_0.5,conv,cos_WBA_minus_WB__WA_minus_Wt_conv,100,0.0017487426001725139,0.020505079439744354,0.08528338577333092,-0.8428366509774564,0.07815362804611564,0.020879584247780435
probe_0.5,conv,cos_WBA_minus_WB__WB_minus_Wt_conv,100,8.791318479809918e-05,0.0008342141698774005,0.10538443000916571,-0.8093252860305047,0.09636687662226215,0.024264519666272615
probe_0.5,conv,cos_WBA_minus_Wt__WA_minus_Wt_conv,100,0.0013496924887443688,0.019188325287431127,0.07033925413118017,-0.868566430952257,0.06703444522476959,0.02767164569639979
probe_0.5,conv,cos_WBA_minus_Wt__WB_minus_Wt_conv,100,0.005101726504729776,0.039712611540120984,0.1284661548781698,-0.7723172213489397,0.1278468813045742,0.03660971418261388
probe_0.5,classifier,recovery_pull_score_classifier,100,0.024822021984857192,0.21337615125547052,0.11632987959904824,-0.7915851188345323,0.11628482338346932,0.008867485800236366
probe_0.5,classifier,cos_WBA_minus_WB__WA_minus_Wt_classifier,100,0.013572097009390325,0.03364468377825219,0.4033949939563196,-0.42511552956433696,0.2970259151345397,0.012999185042458734
probe_0.5,classifier,cos_WBA_minus_WB__WB_minus_Wt_classifier,100,0.003128323938315703,0.039638475862505074,0.07892139821841271,-0.8537031551163355,0.07658648750220705,0.02687509004215188
probe_0.5,classifier,cos_WBA_minus_Wt__WA_minus_Wt_classifier,100,0.01063374166278397,0.024120830477873105,0.44085304909126904,-0.3880666048917196,0.3196082678401962,0.02523165657205516
probe_0.5,classifier,cos_WBA_minus_Wt__WB_minus_Wt_classifier,100,0.00542116328326286,0.09219266228702025,0.05880254619814903,-0.8889263226476138,0.056899842659500266,0.02163948751099299
