effect,scope,metric,tested_factor,controls,count,reduced_sse,full_sse,partial_r2
target_identity,all,response_change_ratio,target_client_id,stage+donor_dominant_class,2500,9611.071294703865,6875.968840418109,0.284578312908044
target_identity,all,cancellation_coefficient,target_client_id,stage+donor_dominant_class,2500,21.354516765425906,20.437076815912434,0.04296233717631373
target_identity,all,survival_ratio,target_client_id,stage+donor_dominant_class,2500,9054.990415331979,6479.0775652559505,0.28447438726323476
target_identity,all,survival_cosine,target_client_id,stage+donor_dominant_class,2500,76.53413629443838,64.53493976777196,0.1567822818370054
target_identity,all,response_cosine,target_client_id,stage+donor_dominant_class,2500,3.062714190558906,2.667902553340544,0.12890906975107405
target_identity,all,cos_q_a,target_client_id,stage+donor_dominant_class,2500,109.2337173044225,96.87312860886335,0.11315726499640699
target_identity,conv,response_change_ratio,target_client_id,stage+donor_dominant_class,2500,9686.11677383638,6932.126569623433,0.2843234568110801
target_identity,conv,cancellation_coefficient,target_client_id,stage+donor_dominant_class,2500,15.560310427031041,14.811331045597814,0.04813396139784689
target_identity,conv,survival_ratio,target_client_id,stage+donor_dominant_class,2500,9108.02196950521,6523.301594399876,0.28378503957931794
target_identity,conv,survival_cosine,target_client_id,stage+donor_dominant_class,2500,76.4241872273339,63.86834480767307,0.16429147466510585
target_identity,conv,response_cosine,target_client_id,stage+donor_dominant_class,2500,1.8129640444730335,1.5386684184708264,0.15129678210575626
target_identity,conv,cos_q_a,target_client_id,stage+donor_dominant_class,2500,110.63671293031399,97.4711258648307,0.11899835702616919
target_identity,classifier,response_change_ratio,target_client_id,stage+donor_dominant_class,2500,8573.563802429291,6079.50689112218,0.2909008399284821
target_identity,classifier,cancellation_coefficient,target_client_id,stage+donor_dominant_class,2500,442.24974947067915,418.43184821477803,0.053856223286521565
target_identity,classifier,survival_ratio,target_client_id,stage+donor_dominant_class,2500,8272.982898442897,5764.500996305983,0.3032137178246856
target_identity,classifier,survival_cosine,target_client_id,stage+donor_dominant_class,2500,169.86545199843616,159.8188963869477,0.05914419614637678
target_identity,classifier,response_cosine,target_client_id,stage+donor_dominant_class,2500,51.515935580558676,44.35403732619966,0.13902296781855994
target_identity,classifier,cos_q_a,target_client_id,stage+donor_dominant_class,2500,219.19293929474694,206.19229257158452,0.05931143021756078
donor_identity,all,response_change_ratio,donor_client_id,stage+target_dominant_class,2500,9458.53445856209,8852.260476587253,0.06409808883510734
donor_identity,all,cancellation_coefficient,donor_client_id,stage+target_dominant_class,2500,22.957859006834312,16.065277889901875,0.3002275218643249
donor_identity,all,survival_ratio,donor_client_id,stage+target_dominant_class,2500,8906.226658718515,8400.335336966962,0.05680198148295765
donor_identity,all,survival_cosine,donor_client_id,stage+target_dominant_class,2500,77.44722405737326,58.27943455762659,0.2474948551486763
donor_identity,all,response_cosine,donor_client_id,stage+target_dominant_class,2500,3.183235845578781,1.8675554676510009,0.41331539406831513
donor_identity,all,cos_q_a,donor_client_id,stage+target_dominant_class,2500,108.63042203112452,101.9902624316332,0.06112615117695855
donor_identity,conv,response_change_ratio,donor_client_id,stage+target_dominant_class,2500,9531.01845814316,8910.338504058996,0.06512210177852129
donor_identity,conv,cancellation_coefficient,donor_client_id,stage+target_dominant_class,2500,16.330455035254342,13.08544266721135,0.19870924362105213
donor_identity,conv,survival_ratio,donor_client_id,stage+target_dominant_class,2500,8959.090902814713,8444.144455833295,0.05747753344255439
donor_identity,conv,survival_cosine,donor_client_id,stage+target_dominant_class,2500,76.85744320135163,58.64062619928387,0.2370208563189283
donor_identity,conv,response_cosine,donor_client_id,stage+target_dominant_class,2500,1.8309445179691664,1.3822573742228772,0.24505774988963658
donor_identity,conv,cos_q_a,donor_client_id,stage+target_dominant_class,2500,110.26370558130195,102.84643437746016,0.06726847392565394
donor_identity,classifier,response_change_ratio,donor_client_id,stage+target_dominant_class,2500,8499.92775324272,8107.584541119325,0.04615841728463123
donor_identity,classifier,cancellation_coefficient,donor_client_id,stage+target_dominant_class,2500,452.18855158453346,324.2166468330042,0.28300562741603563
donor_identity,classifier,survival_ratio,donor_client_id,stage+target_dominant_class,2500,8185.25237471874,7845.443676916598,0.04151474899560668
donor_identity,classifier,survival_cosine,donor_client_id,stage+target_dominant_class,2500,173.42893408950064,118.56930847811455,0.31632337417858397
donor_identity,classifier,response_cosine,donor_client_id,stage+target_dominant_class,2500,53.23805063653721,32.8163716317787,0.383591787463817
donor_identity,classifier,cos_q_a,donor_client_id,stage+target_dominant_class,2500,217.7901413862426,199.29838761717923,0.08490629397346751
