target_client_id,dominant_class,event_count,unique_donor_client_id_count,response_change_ratio_all_mean,response_change_ratio_all_std,cancellation_coefficient_all_mean,cancellation_coefficient_all_std,survival_ratio_all_mean,survival_ratio_all_std,survival_cosine_all_mean,survival_cosine_all_std,response_cosine_all_mean,response_cosine_all_std,cos_q_a_all_mean,cos_q_a_all_std,response_change_ratio_conv_mean,response_change_ratio_conv_std,cancellation_coefficient_conv_mean,cancellation_coefficient_conv_std,survival_ratio_conv_mean,survival_ratio_conv_std,survival_cosine_conv_mean,survival_cosine_conv_std,response_cosine_conv_mean,response_cosine_conv_std,cos_q_a_conv_mean,cos_q_a_conv_std,response_change_ratio_classifier_mean,response_change_ratio_classifier_std,cancellation_coefficient_classifier_mean,cancellation_coefficient_classifier_std,survival_ratio_classifier_mean,survival_ratio_classifier_std,survival_cosine_classifier_mean,survival_cosine_classifier_std,response_cosine_classifier_mean,response_cosine_classifier_std,cos_q_a_classifier_mean,cos_q_a_classifier_std
0,4,26,20,1.8549137371806235,0.7819187245132712,0.1581160179222541,0.07622475217891889,2.0571848525239003,0.7067947702755158,0.45075662356976837,0.14508310618095221,-0.08780233340121925,0.03768708208270236,-0.3826408634819519,0.20349206059008973,1.8655254181414413,0.7946243058386766,0.1322018760508121,0.06355655710662515,2.0808442372836122,0.7160524594317424,0.45965208719668116,0.14577842238729938,-0.0725131111481088,0.028512962419336364,-0.39961101217964823,0.20835426879700203,1.7636122899410789,0.5711972014546585,0.717648751337321,0.337338866503805,1.6535027781943914,0.5146493820343485,0.20290621958902122,0.22919873193260545,-0.4093945484943792,0.14573962011087793,-0.04522537422210988,0.28272142398888445
1,6,28,23,1.454410231214268,0.7611661726145711,0.12245796394035101,0.07809478768742509,1.7625109105746317,0.5784287131959864,0.5627462722523957,0.21902416302212868,-0.07819112182666714,0.03291443675980903,-0.4288133565523676,0.2280168501924023,1.4596610023201904,0.7666033030966873,0.09801401467904736,0.06698030049733732,1.7819636165807644,0.5813342741361418,0.5708062178258806,0.2165878825276945,-0.060019165363831485,0.02314202598840994,-0.44385991256314206,0.23694933617046998,1.3740958057475157,0.6553557222581283,0.6001501318994187,0.388131526848799,1.382079438510886,0.4460415516399174,0.3641312818374868,0.34601109547871106,-0.4086753071494277,0.16040265313337018,-0.18017578417832494,0.21394964496868846
2,6,15,12,2.2386567916957376,1.1091743454123342,0.14837370186418875,0.08335478295994,2.42158069630065,1.034598078389514,0.40467276141959835,0.156814006782292,-0.07039700538722547,0.028453517921927574,-0.3233121228885432,0.2420330007559383,2.24636923242631,1.114760762167317,0.13166161922631697,0.0678344747132775,2.4362134845330305,1.039004056345088,0.4099413270333396,0.15584009535497945,-0.06256284725010529,0.022739371382402066,-0.3276299136492225,0.2415203838489896,2.0926944530096483,1.0889309442864856,0.7235356733365244,0.46492421319442645,2.0065347212915383,1.041720605935787,0.18935343713476924,0.22232795428531746,-0.35544514748202827,0.13408652193058979,-0.15902922935628164,0.31537838643746796
3,1,22,20,1.5181267055602923,0.6200000781806665,0.14141794109304512,0.06302768024347843,1.771428780757504,0.5126256193762616,0.5273633723259616,0.16747689352202977,-0.09500832295686511,0.027041824011296522,-0.4124210218035948,0.2688897284067787,1.5217333227583276,0.6272923164400293,0.11990067269967156,0.05805036775771279,1.7875826869837539,0.5179000084797253,0.5351703482506168,0.16688138387365692,-0.07960809563219852,0.02507616035296484,-0.42527622260612047,0.2738791017312519,1.4479311251493856,0.6007782640679731,0.6621356876379108,0.35508454679484514,1.3851859192143678,0.455468047365344,0.3118209616776149,0.28871445881186686,-0.44849907164767944,0.10725921084612296,-0.17871771421465388,0.31685250047500685
4,0,27,22,1.620004927628868,0.627792029979675,0.13247245584570064,0.07175532431516843,1.863240378393631,0.5268909168267061,0.5062189946439847,0.1594091888150506,-0.08245655282346062,0.03280447804576994,-0.4557640300771374,0.153806913872289,1.6249103111279881,0.6448965626940332,0.10372420246573474,0.06050362597540597,1.885000077441193,0.5393727191981583,0.5169861555035863,0.16078659828628042,-0.062344894822608854,0.028619723333229128,-0.47756427822665304,0.1633346521452687,1.5524000886377936,0.604761902165979,0.7238791076998721,0.3549545014058153,1.4347356274560226,0.5155147310997784,0.24785349681260804,0.271345213223734,-0.46866618185414916,0.13921379520941635,-0.18514875844161396,0.2993347467245455
5,9,26,21,2.2263815892921026,1.320700332407516,0.1713989597934629,0.10248693733646783,2.434034878615866,1.1921739343027375,0.4316001483645651,0.22517661397491237,-0.08356172264276801,0.03593569466010958,-0.42755346679120654,0.2758168638955302,2.262134369145478,1.368938410973625,0.1385892696060303,0.07877991070156197,2.4839911468332017,1.2371936686364589,0.4407584940793259,0.2251102349840319,-0.06646433765652636,0.026577010420865257,-0.4387081025785473,0.2826650499644207,1.917658705983827,0.9680828572125035,0.7501776485553187,0.4071277489144773,1.8266340509339032,0.8782202367985819,0.22487648784338704,0.27808278795408314,-0.41186629543670483,0.13448969770805133,-0.2429530990908598,0.31126308326815816
6,3,19,18,6.463881251634649,5.541283852839133,0.1894493384954881,0.09971612323636256,6.55338201693043,5.489230673361259,0.2097939583940233,0.15340024022670964,-0.038745796285342894,0.02135178444445048,-0.518029160360526,0.21019236940022012,6.508795853352623,5.573946525123086,0.1638639895752657,0.09450946775850522,6.603399656058545,5.519884249902559,0.21361021182469142,0.15411297361088655,-0.032532097588507336,0.020272093935469703,-0.5274715823330535,0.21117441270979806,4.942198131546598,3.5762672274687946,1.0789904558077001,0.5943778396023485,4.828980973634887,3.568626958410335,0.045421076282280835,0.188051848534572,-0.2669559725992386,0.12841516369793687,-0.20730333636737477,0.2787618065939358
7,7,31,26,2.150036170591055,1.3613233026618659,0.1619734045930533,0.07707855068870047,2.3577255542823985,1.2587168207018615,0.44411299053881975,0.20287552463854316,-0.08312655302411617,0.02697838686483972,-0.37314429446349057,0.266404633167036,2.1623446025294255,1.3889737409588105,0.14343225702756948,0.07017756310007059,2.3791276531339838,1.2840651740218794,0.45070697222659495,0.2033643505976409,-0.07308295033348043,0.022283315928535996,-0.3827371061733759,0.26802845802018066,1.7719483868361616,0.7268719393523566,0.6674948766450037,0.3936735842450311,1.7137516016088659,0.6259434130239644,0.25043719695995187,0.2613379231453751,-0.3736717807263452,0.14524324939117747,-0.10101889249854774,0.311298285007647
8,2,17,15,1.9234490009158445,0.9086598530798518,0.13595890717539547,0.08783663176842811,2.1447111337025007,0.8017868488903652,0.46082080244556756,0.18372765090959375,-0.07192948722489974,0.04117396597355976,-0.5133928069706656,0.2569126607729486,1.9362209181285825,0.9221119026034075,0.111054171269612,0.07307786366046827,2.169623482571537,0.8115361798711402,0.46885126971475305,0.18414567826741662,-0.05745372231467111,0.0319607723031224,-0.5250111597451976,0.2603952391991774,1.9108636264361716,0.8740225044644236,0.6050231393996282,0.24101233187002585,1.8685381846466573,0.8430325148343902,0.25603280965699116,0.21066085452206892,-0.3457535935058499,0.13842794662841507,-0.24222746583850388,0.25589762311154307
9,4,29,26,1.7841858080546857,0.5942909233582773,0.15178650048901565,0.060821921147956134,1.9972837967360801,0.48977353240252,0.455990421655358,0.14691880428620324,-0.08578160010466941,0.027356323930794027,-0.31181228599050176,0.20800209289541458,1.791472844066286,0.6002094237194624,0.1268414163908245,0.05008513990698331,2.0170000139073307,0.493592032980663,0.46440616802044266,0.14579535618563216,-0.07103297497745356,0.01956670558499711,-0.3221322291700916,0.21339904716962965,1.6863494159370758,0.6257769683761725,0.7404704938760769,0.38920333545944397,1.5788931282409342,0.5068345944187755,0.21686559482968468,0.27275622822129136,-0.42751047143951876,0.14370981363219038,-0.0677403885157195,0.23191849077776097
