entity,scope,metric,stage_left,stage_right,common_entities,pearson_r,spearman_r
target,all,response_change_ratio,rounds_1_150,rounds_151_300,100,0.7873961071938547,0.5905310531053105
target,all,response_change_ratio,rounds_1_150,rounds_301_500,100,0.8442853118274826,0.3993879387938794
target,all,response_change_ratio,rounds_151_300,rounds_301_500,100,0.8538624450286729,0.337989798979898
target,all,cancellation_coefficient,rounds_1_150,rounds_151_300,100,0.0314518690919646,0.08072007200720072
target,all,cancellation_coefficient,rounds_1_150,rounds_301_500,100,-0.06401564710015348,0.021614161416141614
target,all,cancellation_coefficient,rounds_151_300,rounds_301_500,100,-0.06487289581186999,-0.1438103810381038
target,all,survival_ratio,rounds_1_150,rounds_151_300,100,0.8044157424576247,0.6134653465346535
target,all,survival_ratio,rounds_1_150,rounds_301_500,100,0.8710182113134416,0.41446144614461444
target,all,survival_ratio,rounds_151_300,rounds_301_500,100,0.8613147528525114,0.3206120612061206
target,all,survival_cosine,rounds_1_150,rounds_151_300,100,0.5561148482547724,0.47824782478247824
target,all,survival_cosine,rounds_1_150,rounds_301_500,100,0.410712601655877,0.2965016501650165
target,all,survival_cosine,rounds_151_300,rounds_301_500,100,0.5086581189547111,0.3467986798679868
target,all,response_cosine,rounds_1_150,rounds_151_300,100,0.48528044978540635,0.38366636663666365
target,all,response_cosine,rounds_1_150,rounds_301_500,100,0.34344611067590214,0.20097209720972098
target,all,response_cosine,rounds_151_300,rounds_301_500,100,0.3448669767025378,0.21532553255325532
target,all,cos_q_a,rounds_1_150,rounds_151_300,100,0.4130700163725918,0.36012001200120014
target,all,cos_q_a,rounds_1_150,rounds_301_500,100,0.15299298655641572,0.1005940594059406
target,all,cos_q_a,rounds_151_300,rounds_301_500,100,0.40902741483165966,0.38495049504950496
target,conv,response_change_ratio,rounds_1_150,rounds_151_300,100,0.7830025312635757,0.5965916591659166
target,conv,response_change_ratio,rounds_1_150,rounds_301_500,100,0.8355806157406165,0.40294029402940296
target,conv,response_change_ratio,rounds_151_300,rounds_301_500,100,0.8514129213338218,0.33780978097809783
target,conv,cancellation_coefficient,rounds_1_150,rounds_151_300,100,0.19152033604464838,0.23402340234023403
target,conv,cancellation_coefficient,rounds_1_150,rounds_301_500,100,-0.07833683586882231,-0.0007560756075607561
target,conv,cancellation_coefficient,rounds_151_300,rounds_301_500,100,-0.04046452064829073,-0.06013801380138014
target,conv,survival_ratio,rounds_1_150,rounds_151_300,100,0.7982305257512599,0.6156975697569756
target,conv,survival_ratio,rounds_1_150,rounds_301_500,100,0.8624728106222314,0.4174857485748575
target,conv,survival_ratio,rounds_151_300,rounds_301_500,100,0.8595003692752229,0.3265646564656466
target,conv,survival_cosine,rounds_1_150,rounds_151_300,100,0.5868498828435614,0.511095109510951
target,conv,survival_cosine,rounds_1_150,rounds_301_500,100,0.42820454617643683,0.3098229822982298
target,conv,survival_cosine,rounds_151_300,rounds_301_500,100,0.5155314932911788,0.35362736273627365
target,conv,response_cosine,rounds_1_150,rounds_151_300,100,0.4974907381344801,0.3829102910291029
target,conv,response_cosine,rounds_1_150,rounds_301_500,100,0.2901321729412105,0.1574077407740774
target,conv,response_cosine,rounds_151_300,rounds_301_500,100,0.4246170561268741,0.2803840384038404
target,conv,cos_q_a,rounds_1_150,rounds_151_300,100,0.4611695011590489,0.4139213921392139
target,conv,cos_q_a,rounds_1_150,rounds_301_500,100,0.20831854749002254,0.14995499549954996
target,conv,cos_q_a,rounds_151_300,rounds_301_500,100,0.43499559978639746,0.422010201020102
target,classifier,response_change_ratio,rounds_1_150,rounds_151_300,100,0.8776137607170357,0.3640804080408041
target,classifier,response_change_ratio,rounds_1_150,rounds_301_500,100,0.9310786735375275,0.25915391539153915
target,classifier,response_change_ratio,rounds_151_300,rounds_301_500,100,0.9175976147867734,0.3267086708670867
target,classifier,cancellation_coefficient,rounds_1_150,rounds_151_300,100,0.004154630831992754,0.02861086108610861
target,classifier,cancellation_coefficient,rounds_1_150,rounds_301_500,100,-0.0011552031912111396,0.05522952295229523
target,classifier,cancellation_coefficient,rounds_151_300,rounds_301_500,100,0.15868718017822675,0.18211821182118212
target,classifier,survival_ratio,rounds_1_150,rounds_151_300,100,0.9115035442383318,0.529012901290129
target,classifier,survival_ratio,rounds_1_150,rounds_301_500,100,0.9521054254948226,0.29704170417041703
target,classifier,survival_ratio,rounds_151_300,rounds_301_500,100,0.927294265231207,0.3348694869486949
target,classifier,survival_cosine,rounds_1_150,rounds_151_300,100,0.018872951365514565,0.0436003600360036
target,classifier,survival_cosine,rounds_1_150,rounds_301_500,100,0.09190630176286302,0.06918691869186919
target,classifier,survival_cosine,rounds_151_300,rounds_301_500,100,0.21465902496762557,0.18841884188418842
target,classifier,response_cosine,rounds_1_150,rounds_151_300,100,0.49546597425135747,0.3002940294029403
target,classifier,response_cosine,rounds_1_150,rounds_301_500,100,0.38466035630938916,0.2095169516951695
target,classifier,response_cosine,rounds_151_300,rounds_301_500,100,0.4230243746397738,0.19914791479147914
target,classifier,cos_q_a,rounds_1_150,rounds_151_300,100,0.2535196610404212,0.2903090309030903
target,classifier,cos_q_a,rounds_1_150,rounds_301_500,100,0.1021303866519313,0.09231323132313231
target,classifier,cos_q_a,rounds_151_300,rounds_301_500,100,-0.03402218805197607,0.05076507650765077
donor,all,response_change_ratio,rounds_1_150,rounds_151_300,100,0.36178181126237957,0.30735073507350735
donor,all,response_change_ratio,rounds_1_150,rounds_301_500,100,0.060946005266077234,0.07917191719171918
donor,all,response_change_ratio,rounds_151_300,rounds_301_500,100,0.23404077554920982,0.27993999399939995
donor,all,cancellation_coefficient,rounds_1_150,rounds_151_300,100,0.736986577436333,0.6521692169216922
donor,all,cancellation_coefficient,rounds_1_150,rounds_301_500,100,0.6006256740355134,0.5099669966996699
donor,all,cancellation_coefficient,rounds_151_300,rounds_301_500,100,0.6757928698185917,0.6385718571857185
donor,all,survival_ratio,rounds_1_150,rounds_151_300,100,0.3034175424433877,0.3030903090309031
donor,all,survival_ratio,rounds_1_150,rounds_301_500,100,0.011061580733784401,0.07003900390039004
donor,all,survival_ratio,rounds_151_300,rounds_301_500,100,0.17998070112877912,0.2720672067206721
donor,all,survival_cosine,rounds_1_150,rounds_151_300,100,0.5567119976830264,0.3952715271527153
donor,all,survival_cosine,rounds_1_150,rounds_301_500,100,0.5014261913193626,0.3114311431143114
donor,all,survival_cosine,rounds_151_300,rounds_301_500,100,0.6281559722343478,0.4228142814281428
donor,all,response_cosine,rounds_1_150,rounds_151_300,100,0.8339620215786817,0.7509150915091509
donor,all,response_cosine,rounds_1_150,rounds_301_500,100,0.7194078369344015,0.6442964296429643
donor,all,response_cosine,rounds_151_300,rounds_301_500,100,0.7646696289410045,0.6834923492349235
donor,all,cos_q_a,rounds_1_150,rounds_151_300,100,0.20283589658709536,0.1353135313531353
donor,all,cos_q_a,rounds_1_150,rounds_301_500,100,0.1599605032490144,0.1458985898589859
donor,all,cos_q_a,rounds_151_300,rounds_301_500,100,0.06795730760039256,0.03711971197119712
donor,conv,response_change_ratio,rounds_1_150,rounds_151_300,100,0.3547196316789048,0.30984698469846983
donor,conv,response_change_ratio,rounds_1_150,rounds_301_500,100,0.06625129997411618,0.09125712571257126
donor,conv,response_change_ratio,rounds_151_300,rounds_301_500,100,0.23671334288005122,0.2792439243924392
donor,conv,cancellation_coefficient,rounds_1_150,rounds_151_300,100,0.5848902034806323,0.5383978397839784
donor,conv,cancellation_coefficient,rounds_1_150,rounds_301_500,100,0.43733255740688587,0.38365436543654363
donor,conv,cancellation_coefficient,rounds_151_300,rounds_301_500,100,0.5332288883771797,0.5483948394839484
donor,conv,survival_ratio,rounds_1_150,rounds_151_300,100,0.290685654267026,0.30025802580258026
donor,conv,survival_ratio,rounds_1_150,rounds_301_500,100,0.01598155936633714,0.07668766876687669
donor,conv,survival_ratio,rounds_151_300,rounds_301_500,100,0.18309463368261775,0.2725112511251125
donor,conv,survival_cosine,rounds_1_150,rounds_151_300,100,0.5384734589555458,0.3512631263126313
donor,conv,survival_cosine,rounds_1_150,rounds_301_500,100,0.48107184761832755,0.2714071407140714
donor,conv,survival_cosine,rounds_151_300,rounds_301_500,100,0.6136364517448888,0.39788778877887787
donor,conv,response_cosine,rounds_1_150,rounds_151_300,100,0.6233509883621716,0.5736573657365737
donor,conv,response_cosine,rounds_1_150,rounds_301_500,100,0.47920225688400797,0.45836183618361837
donor,conv,response_cosine,rounds_151_300,rounds_301_500,100,0.6353693631310207,0.5914311431143114
donor,conv,cos_q_a,rounds_1_150,rounds_151_300,100,0.28261484840843665,0.19996399639963996
donor,conv,cos_q_a,rounds_1_150,rounds_301_500,100,0.14601030525245223,0.1054065406540654
