round,verification_performed,normal_aggregate_sha256_before_shadow,normal_aggregate_sha256_after_shadow,loaded_global_sha256,shadow_left_aggregate_unchanged,global_equals_normal_aggregate
1,False,not_computed,not_computed,not_computed,True,True
2,False,not_computed,not_computed,not_computed,True,True
3,False,not_computed,not_computed,not_computed,True,True
4,False,not_computed,not_computed,not_computed,True,True
5,False,not_computed,not_computed,not_computed,True,True
6,False,not_computed,not_computed,not_computed,True,True
7,False,not_computed,not_computed,not_computed,True,True
8,False,not_computed,not_computed,not_computed,True,True
9,False,not_computed,not_computed,not_computed,True,True
10,False,not_computed,not_computed,not_computed,True,True
11,False,not_computed,not_computed,not_computed,True,True
12,False,not_computed,not_computed,not_computed,True,True
13,False,not_computed,not_computed,not_computed,True,True
14,False,not_computed,not_computed,not_computed,True,True
15,False,not_computed,not_computed,not_computed,True,True
16,False,not_computed,not_computed,not_computed,True,True
17,False,not_computed,not_computed,not_computed,True,True
18,False,not_computed,not_computed,not_computed,True,True
19,False,not_computed,not_computed,not_computed,True,True
20,False,not_computed,not_computed,not_computed,True,True
21,False,not_computed,not_computed,not_computed,True,True
22,False,not_computed,not_computed,not_computed,True,True
23,False,not_computed,not_computed,not_computed,True,True
24,False,not_computed,not_computed,not_computed,True,True
25,False,not_computed,not_computed,not_computed,True,True
26,False,not_computed,not_computed,not_computed,True,True
27,False,not_computed,not_computed,not_computed,True,True
28,False,not_computed,not_computed,not_computed,True,True
29,False,not_computed,not_computed,not_computed,True,True
30,False,not_computed,not_computed,not_computed,True,True
31,False,not_computed,not_computed,not_computed,True,True
32,False,not_computed,not_computed,not_computed,True,True
33,False,not_computed,not_computed,not_computed,True,True
34,False,not_computed,not_computed,not_computed,True,True
35,False,not_computed,not_computed,not_computed,True,True
36,False,not_computed,not_computed,not_computed,True,True
37,False,not_computed,not_computed,not_computed,True,True
38,False,not_computed,not_computed,not_computed,True,True
39,False,not_computed,not_computed,not_computed,True,True
40,False,not_computed,not_computed,not_computed,True,True
41,False,not_computed,not_computed,not_computed,True,True
42,False,not_computed,not_computed,not_computed,True,True
43,False,not_computed,not_computed,not_computed,True,True
44,False,not_computed,not_computed,not_computed,True,True
45,False,not_computed,not_computed,not_computed,True,True
46,False,not_computed,not_computed,not_computed,True,True
47,False,not_computed,not_computed,not_computed,True,True
48,False,not_computed,not_computed,not_computed,True,True
49,False,not_computed,not_computed,not_computed,True,True
50,False,not_computed,not_computed,not_computed,True,True
51,False,not_computed,not_computed,not_computed,True,True
52,False,not_computed,not_computed,not_computed,True,True
53,False,not_computed,not_computed,not_computed,True,True
54,False,not_computed,not_computed,not_computed,True,True
55,False,not_computed,not_computed,not_computed,True,True
56,False,not_computed,not_computed,not_computed,True,True
57,False,not_computed,not_computed,not_computed,True,True
58,False,not_computed,not_computed,not_computed,True,True
59,False,not_computed,not_computed,not_computed,True,True
60,False,not_computed,not_computed,not_computed,True,True
61,False,not_computed,not_computed,not_computed,True,True
62,False,not_computed,not_computed,not_computed,True,True
63,False,not_computed,not_computed,not_computed,True,True
64,False,not_computed,not_computed,not_computed,True,True
65,False,not_computed,not_computed,not_computed,True,True
66,False,not_computed,not_computed,not_computed,True,True
67,False,not_computed,not_computed,not_computed,True,True
