round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
1,11.319999694824219,2.3900667278289793,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[[81, 36], [93, 33], [17, 81], [69, 17], [36, 69]]",27.45823740004562
2,14.949999809265137,2.282492802429199,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[[82, 35], [44, 11], [11, 87], [3, 26], [1, 38]]",18.623906299995724
3,20.15999984741211,2.2637702327728273,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[[27, 95], [71, 96], [99, 67], [67, 27], [52, 80]]",15.874629300029483
4,18.1200008392334,2.2668213073730468,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[[5, 32], [55, 10], [96, 25], [25, 66], [89, 95]]",16.497107200033497
5,39.68000030517578,1.62521386013031,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[[45, 89], [74, 9], [96, 88], [9, 88], [72, 9]]",12.943759899993893
6,25.229999542236328,2.055425944137573,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[[0, 1], [4, 86], [62, 4], [23, 86], [93, 0]]",19.10425999999279
7,37.66999816894531,1.7496323163986207,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[[75, 6], [6, 72], [30, 72], [91, 30], [59, 72]]",16.655069199972786
8,26.979999542236328,2.3523326999664307,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[[79, 88], [25, 59], [48, 25], [45, 88], [74, 88]]",16.691641799989156
9,35.15999984741211,1.8951700435638428,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[[75, 45], [22, 35], [66, 45], [35, 22], [60, 45]]",17.7933544999687
10,31.809999465942383,2.1555553998947143,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[[91, 16], [68, 52], [64, 65], [50, 33], [52, 12]]",18.8018934999709
11,42.099998474121094,1.5773532890319824,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[[23, 54], [24, 37], [27, 24], [37, 27], [41, 54]]",19.513330599991605
12,39.66999816894531,1.7172756288528443,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]","[[45, 54], [15, 44], [44, 40], [40, 45], [93, 88]]",16.791234400006942
13,37.689998626708984,1.787998941040039,"[70, 75, 5, 68, 36, 79, 72, 78, 57, 44]","[[36, 68], [79, 78], [70, 36], [75, 44], [44, 57]]",19.99813439999707
14,47.439998626708984,1.5305292818069458,"[41, 9, 30, 89, 40, 49, 3, 22, 8, 16]","[[8, 22], [30, 89], [16, 3], [41, 3], [49, 41]]",16.88081579998834
15,46.93000030517578,1.4594834770202636,"[82, 28, 69, 81, 56, 71, 85, 27, 37, 66]","[[66, 81], [85, 27], [37, 28], [81, 85], [27, 66]]",17.20282040000893
16,52.43000030517578,1.3245163291931152,"[60, 13, 26, 12, 1, 28, 88, 86, 11, 43]","[[11, 60], [88, 26], [60, 12], [1, 12], [86, 43]]",15.837244800000917
17,52.220001220703125,1.3933008922576904,"[93, 16, 72, 75, 10, 4, 38, 71, 42, 62]","[[72, 75], [4, 42], [62, 38], [93, 16], [38, 72]]",15.778286100015976
18,33.91999816894531,2.1165942333221435,"[36, 47, 1, 64, 57, 97, 29, 6, 67, 92]","[[47, 97], [6, 36], [67, 97], [97, 1], [29, 36]]",17.038327300047968
19,46.029998779296875,1.481990567779541,"[48, 87, 17, 57, 22, 81, 4, 51, 94, 63]","[[63, 48], [4, 48], [87, 48], [51, 57], [22, 81]]",17.0790779000381
20,42.95000076293945,1.6790464611053466,"[9, 17, 59, 11, 2, 95, 68, 28, 60, 14]","[[60, 14], [95, 14], [14, 60], [17, 9], [59, 11]]",18.77761420002207
21,52.09000015258789,1.4077905534744262,"[26, 25, 15, 93, 45, 54, 68, 90, 76, 10]","[[76, 90], [15, 26], [93, 25], [26, 90], [25, 26]]",17.70240060001379
22,58.4900016784668,1.1687351175308227,"[84, 74, 93, 1, 48, 44, 29, 26, 94, 75]","[[75, 84], [93, 48], [1, 29], [48, 93], [26, 75]]",16.419562299968675
23,51.25,1.4702178966522217,"[71, 58, 50, 22, 59, 84, 10, 70, 43, 67]","[[10, 58], [22, 58], [67, 84], [84, 59], [58, 59]]",16.602200799970888
24,50.290000915527344,1.4679995738983154,"[70, 54, 33, 75, 31, 58, 17, 6, 3, 51]","[[51, 70], [70, 75], [17, 31], [33, 6], [31, 51]]",20.130437700019684
25,54.380001068115234,1.336470846939087,"[42, 87, 33, 36, 30, 84, 78, 98, 71, 75]","[[36, 71], [71, 75], [30, 84], [42, 78], [87, 78]]",17.336474699957762
26,52.540000915527344,1.4144111406326294,"[41, 47, 34, 10, 51, 11, 50, 16, 86, 64]","[[10, 34], [51, 64], [64, 34], [41, 34], [34, 64]]",16.13791480002692
27,58.459999084472656,1.2296650560379028,"[58, 82, 63, 50, 98, 84, 4, 46, 65, 88]","[[50, 46], [4, 58], [84, 65], [88, 65], [58, 50]]",18.084776200004853
28,54.560001373291016,1.266402057647705,"[99, 88, 69, 16, 46, 29, 90, 91, 4, 45]","[[69, 99], [45, 88], [91, 88], [4, 46], [88, 99]]",14.337570699979551
