round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
1,11.319999694824219,2.3900667278289793,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[[81, 36], [93, 36]]",16.975686500023585
2,14.949999809265137,2.282492802429199,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[[1, 38], [35, 87]]",10.383684999949764
3,20.15999984741211,2.2637702327728273,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[[45, 80], [95, 99]]",10.877949599991553
4,18.1200008392334,2.2668213073730468,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[[66, 25], [89, 32]]",12.078564199968241
5,39.68000030517578,1.62521386013031,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[[38, 96], [9, 88]]",8.395554499991704
6,25.229999542236328,2.055425944137573,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[[23, 0], [83, 4]]",11.766821600031108
7,37.66999816894531,1.7496323163986207,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[[59, 75], [15, 76]]",9.891064699972048
8,26.979999542236328,2.3523326999664307,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[[74, 55], [59, 25]]",10.059075299999677
9,35.15999984741211,1.8951700435638428,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[[60, 22], [68, 66]]",11.459059199958574
10,31.809999465942383,2.1555553998947143,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[[12, 16], [50, 64]]",12.313789700041525
11,42.099998474121094,1.5773532890319824,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[[33, 46], [41, 75]]",12.754096199991181
12,39.66999816894531,1.7172756288528443,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]","[[54, 40], [28, 12]]",10.493942299974151
13,37.689998626708984,1.787998941040039,"[70, 75, 5, 68, 36, 79, 72, 78, 57, 44]","[[72, 36], [70, 5]]",12.121512799989432
14,47.439998626708984,1.5305292818069458,"[41, 9, 30, 89, 40, 49, 3, 22, 8, 16]","[[30, 41], [9, 22]]",10.65391480003018
15,46.93000030517578,1.4594834770202636,"[82, 28, 69, 81, 56, 71, 85, 27, 37, 66]","[[66, 81], [82, 66]]",11.070435900008306
16,52.43000030517578,1.3245163291931152,"[60, 13, 26, 12, 1, 28, 88, 86, 11, 43]","[[26, 13], [60, 12]]",10.015458899957594
17,52.220001220703125,1.3933008922576904,"[93, 16, 72, 75, 10, 4, 38, 71, 42, 62]","[[75, 38], [16, 71]]",10.435254500014707
18,33.91999816894531,2.1165942333221435,"[36, 47, 1, 64, 57, 97, 29, 6, 67, 92]","[[64, 47], [57, 97]]",10.662206799956039
19,46.029998779296875,1.481990567779541,"[48, 87, 17, 57, 22, 81, 4, 51, 94, 63]","[[81, 87], [87, 81]]",11.403363600024022
20,42.95000076293945,1.6790464611053466,"[9, 17, 59, 11, 2, 95, 68, 28, 60, 14]","[[95, 11], [14, 68]]",11.72022780001862
21,52.09000015258789,1.4077905534744262,"[26, 25, 15, 93, 45, 54, 68, 90, 76, 10]","[[10, 54], [15, 45]]",10.644068499968853
22,58.4900016784668,1.1687351175308227,"[84, 74, 93, 1, 48, 44, 29, 26, 94, 75]","[[44, 94], [74, 84]]",10.202152000041679
23,51.25,1.4702178966522217,"[71, 58, 50, 22, 59, 84, 10, 70, 43, 67]","[[70, 22], [22, 84]]",10.485319900035392
