round,source_algorithm,test_accuracy,round_train_seconds,selected_clients,assignments,task_seeds,observer_history_bytes
1,FedAvg,10.100000381469727,31.119716199988034,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[{""client_id"": 80, ""task_id"": 0}, {""client_id"": 84, ""task_id"": 1}, {""client_id"": 33, ""task_id"": 2}, {""client_id"": 81, ""task_id"": 3}, {""client_id"": 93, ""task_id"": 4}, {""client_id"": 17, ""task_id"": 5}, {""client_id"": 36, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 65, ""task_id"": 9}]",[],672933320
2,FedAvg,12.739999771118164,19.92395970004145,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 96, ""task_id"": 1}, {""client_id"": 1, ""task_id"": 2}, {""client_id"": 35, ""task_id"": 3}, {""client_id"": 26, ""task_id"": 4}, {""client_id"": 11, ""task_id"": 5}, {""client_id"": 38, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 87, ""task_id"": 8}, {""client_id"": 3, ""task_id"": 9}]",[],1211279976
3,FedAvg,14.130000114440918,20.055182100040838,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[{""client_id"": 95, ""task_id"": 0}, {""client_id"": 67, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 71, ""task_id"": 3}, {""client_id"": 1, ""task_id"": 4}, {""client_id"": 80, ""task_id"": 5}, {""client_id"": 99, ""task_id"": 6}, {""client_id"": 45, ""task_id"": 7}, {""client_id"": 52, ""task_id"": 8}, {""client_id"": 27, ""task_id"": 9}]",[],1480453304
4,FedAvg,21.100000381469727,18.151506799971685,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[{""client_id"": 40, ""task_id"": 0}, {""client_id"": 10, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 66, ""task_id"": 3}, {""client_id"": 89, ""task_id"": 4}, {""client_id"": 32, ""task_id"": 5}, {""client_id"": 95, ""task_id"": 6}, {""client_id"": 55, ""task_id"": 7}, {""client_id"": 25, ""task_id"": 8}, {""client_id"": 5, ""task_id"": 9}]",[],1480453304
5,FedAvg,39.20000076293945,13.153846900037024,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[{""client_id"": 89, ""task_id"": 0}, {""client_id"": 99, ""task_id"": 1}, {""client_id"": 45, ""task_id"": 2}, {""client_id"": 96, ""task_id"": 3}, {""client_id"": 72, ""task_id"": 4}, {""client_id"": 9, ""task_id"": 5}, {""client_id"": 74, ""task_id"": 6}, {""client_id"": 88, ""task_id"": 7}, {""client_id"": 1, ""task_id"": 8}, {""client_id"": 38, ""task_id"": 9}]",[],1749626632
6,FedAvg,25.530000686645508,18.98078169999644,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[{""client_id"": 0, ""task_id"": 0}, {""client_id"": 86, ""task_id"": 1}, {""client_id"": 4, ""task_id"": 2}, {""client_id"": 23, ""task_id"": 3}, {""client_id"": 24, ""task_id"": 4}, {""client_id"": 1, ""task_id"": 5}, {""client_id"": 62, ""task_id"": 6}, {""client_id"": 83, ""task_id"": 7}, {""client_id"": 66, ""task_id"": 8}, {""client_id"": 93, ""task_id"": 9}]",[],2018799960
7,FedAvg,35.86000061035156,8.301771800033748,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[{""client_id"": 6, ""task_id"": 0}, {""client_id"": 59, ""task_id"": 1}, {""client_id"": 72, ""task_id"": 2}, {""client_id"": 30, ""task_id"": 3}, {""client_id"": 91, ""task_id"": 4}, {""client_id"": 43, ""task_id"": 5}, {""client_id"": 75, ""task_id"": 6}, {""client_id"": 76, ""task_id"": 7}, {""client_id"": 15, ""task_id"": 8}, {""client_id"": 61, ""task_id"": 9}]",[],2018799960
8,FedAvg,27.450000762939453,9.605187100009061,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 88, ""task_id"": 1}, {""client_id"": 74, ""task_id"": 2}, {""client_id"": 48, ""task_id"": 3}, {""client_id"": 59, ""task_id"": 4}, {""client_id"": 79, ""task_id"": 5}, {""client_id"": 25, ""task_id"": 6}, {""client_id"": 52, ""task_id"": 7}, {""client_id"": 45, ""task_id"": 8}, {""client_id"": 55, ""task_id"": 9}]",[],2153386624
9,FedAvg,37.45000076293945,10.385942200024147,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[{""client_id"": 3, ""task_id"": 0}, {""client_id"": 60, ""task_id"": 1}, {""client_id"": 35, ""task_id"": 2}, {""client_id"": 33, ""task_id"": 3}, {""client_id"": 22, ""task_id"": 4}, {""client_id"": 66, ""task_id"": 5}, {""client_id"": 45, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 67, ""task_id"": 8}, {""client_id"": 75, ""task_id"": 9}]",[],2153386624
10,FedAvg,33.25,12.717915199988056,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[{""client_id"": 64, ""task_id"": 0}, {""client_id"": 91, ""task_id"": 1}, {""client_id"": 12, ""task_id"": 2}, {""client_id"": 52, ""task_id"": 3}, {""client_id"": 16, ""task_id"": 4}, {""client_id"": 65, ""task_id"": 5}, {""client_id"": 50, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 33, ""task_id"": 8}, {""client_id"": 30, ""task_id"": 9}]",[],2826319944
