source_algorithm,seed,round,client_id,client_visit_index,participation_gap,task_id,task_seed,num_reset_kernels,local_update_norm,dispatch_minus_global_norm,input_change_norm,response_change_norm,secant_gain,response_change_ratio,h_norm,input_direction_cosine,response_direction_cosine,response_norm_ratio,response_prediction_nre,predicted_support,realized_support,support_sign_agreement
FedAvg,1,1,80,1,,,,,2.143524169921875,0.0,,,,,,,,,,,,
FedAvg,1,1,65,1,,,,,2.102614164352417,0.0,,,,,,,,,,,,
FedAvg,1,2,96,1,,,,,1.126013994216919,0.0,,,,,,,,,,,,
FedAvg,1,3,96,2,1,,,,1.031911849975586,0.0,0.7383242249488831,1.420291781425476,1.92366948480105,0.6581745082886713,1.9228909015655518,,,,,,,
FedAvg,1,3,80,2,2,,,,2.501011848449707,0.0,1.0840734243392944,3.190056562423706,2.9426572875956194,0.6868407414227531,2.9468066692352295,,,,,,,
FedAvg,1,4,96,3,1,,,,1.051404595375061,0.0,0.779960572719574,1.3262065649032593,1.7003507757800234,0.6365843114531774,1.6987005472183228,0.11396129851270835,-0.4485359847012166,0.8834010299838492,0.8493757297085535,0.14824548363685608,-0.1123984158039093,0
FedAvg,1,5,96,4,1,,,,1.0164568424224854,0.0,0.6674482822418213,1.2868238687515259,1.9279753997229891,0.6222969514444274,1.929136037826538,0.1029637425967986,-0.492060190676952,1.135652466091373,0.8617225824032297,0.0885736346244812,-0.14178940653800964,0
FedAvg,1,5,88,1,,,,,1.3613083362579346,0.0,,,,,,,,,,,,
FedAvg,1,6,62,1,,,,,2.209515333175659,0.0,,,,,,,,,,,,
FedAvg,1,8,88,2,3,,,,1.3408877849578857,0.0,1.05791437625885,1.7652852535247803,1.6686466250376222,0.6532779910622691,1.6676485538482666,,,,,,,
FedAvg,1,10,64,1,,,,,1.410508394241333,0.0,,,,,,,,,,,,
FedAvg,1,10,16,1,,,,,2.086913824081421,0.0,,,,,,,,,,,,
FedAvg,1,10,65,2,9,,,,2.1199328899383545,0.0,2.5228071212768555,2.8914248943328857,1.1461141321292598,0.6847584780361556,1.1437139511108398,,,,,,,
