score_type,gap_bucket,number_valid_events,mean_same_overlap,median_same_overlap,mean_random_expected_overlap,mean_cross_overlap,mean_identity_overlap_advantage,mean_same_spearman,median_same_spearman,mean_cross_spearman,mean_identity_rank_advantage
update_norm,1-10,24999,0.1642815712628505,0.125,0.016068922903694206,0.07198549053073233,0.09229608073211817,0.5125600155620816,0.5265712037765539,0.30338371621545446,0.20917629934662718
update_norm,11-20,8502,0.11228240414020231,0.0,0.01607002867106224,0.07277552340625734,0.03950688073394496,0.42230651331446745,0.4279847254063519,0.30242885720680773,0.11987765610765973
update_norm,21-40,3718,0.10092791823561054,0.0,0.01606733120849079,0.07362829478214093,0.027299623453469608,0.36956749499717173,0.3679480648044383,0.29601509612288485,0.0735523988742868
update_norm,>40,481,0.08731808731808732,0.0,0.01607024076957787,0.07136174636174637,0.015956340956340957,0.3119870870040794,0.3087418237662679,0.2809184469473406,0.031068640056738837
residual,1-10,24999,0.16196647865914637,0.125,0.016068922903694206,0.07767199576871964,0.08429448289042674,0.5154461669631946,0.5288577583154873,0.3313749380923314,0.18407122887086322
residual,11-20,8502,0.10478416843095742,0.0,0.01607002867106224,0.07881086803105151,0.025973300399905905,0.4177750732549226,0.4237642643919969,0.3303376230792544,0.08743745017566819
residual,21-40,3718,0.09262372243141474,0.0,0.01606733120849079,0.07892684238838085,0.01369688004303389,0.3616729364717483,0.3607798647018846,0.32331802616431116,0.038354910307437096
residual,>40,481,0.0777027027027027,0.0,0.01607024076957787,0.07577962577962578,0.0019230769230769227,0.2992224039039672,0.29111157659544756,0.3115437982977785,-0.012321394393811263
norm_residual,1-10,24999,0.028516140645625826,0.0,0.016068922903694206,0.01829895418038944,0.010217186465236387,0.05546036843970761,0.0543956043956044,0.004010164186721035,0.051450204252986576
norm_residual,11-20,8502,0.02889026111503176,0.0,0.01607002867106224,0.018400082333568574,0.010490178781463183,0.058239793975336615,0.05723854851300647,0.0033665358086985868,0.05487325816663804
norm_residual,21-40,3718,0.027299623453469608,0.0,0.01606733120849079,0.017758203335126413,0.009541420118343196,0.055463437396183236,0.052501397339241265,0.0044999144293457055,0.05096352296683753
norm_residual,>40,481,0.035602910602910605,0.0,0.01607024076957787,0.018970893970893975,0.016632016632016633,0.055147572924673045,0.04945054945054945,0.0033319142718609735,0.051815658652812076
angular,1-10,24999,0.02153086123444938,0.0,0.016068922903694206,0.01811639132231956,0.0034144699121298173,-0.0025093067145864584,-0.0018811041475553514,0.003739940836409766,-0.006249247550996225
angular,11-20,8502,0.022230063514467185,0.0,0.01607002867106224,0.01811485532815808,0.004115208186309103,0.006826762379769771,0.006460739129955895,0.002495702481282827,0.004331059898486943
angular,21-40,3718,0.023265196342119418,0.0,0.01606733120849079,0.018091043571812803,0.005174152770306617,0.009052808905851124,0.0070421427121572355,0.00392913780270697,0.005123671103144153
angular,>40,481,0.029365904365904368,0.0,0.01607024076957787,0.019386694386694388,0.009979209979209978,0.014204703090194068,0.011156479443621652,0.0028770950183500616,0.011327608071844008
