round,client_id,reason,group,parameter_numel,conflict,support,update_norm,response_direction_projection
4,96,no_need,features,14723136,-0.07575031952763567,0.043129593325321736,0.9215951434003197,0.043129593325321736
4,96,no_need,classifier,18882560,-0.03242212582608772,0.015664652326563555,0.33789997301295754,0.015664652326563555
4,96,no_need,fc,40970,-0.03137836739915656,0.018144737667171285,0.3308943660980699,0.018144737667171285
5,96,no_need,features,14723136,-0.08767645199323226,0.04163183378006963,0.9627650791620309,0.04163183378006963
5,96,no_need,classifier,18882560,-0.03038559220613024,0.004038891008093515,0.31079620319037626,0.004038891008093515
5,96,no_need,fc,40970,-0.027542295400053263,0.006359120063279988,0.3018145498475043,0.006359120063279988
5,1,no_need,features,14723136,-0.023588159171566765,0.0031081519044064976,0.9960587801134018,0.0031081519044064976
5,1,no_need,classifier,18882560,-0.02525766438975552,0.0013533169556581015,0.3730651964615372,0.0013533169556581015
5,1,no_need,fc,40970,-0.01584153042313119,0.0004887697023150395,0.36645617213266984,0.0004887697023150395
6,1,no_need,features,14723136,-0.16071664345507491,0.0911024268217524,1.0030844582671463,0.0911024268217524
6,1,no_need,classifier,18882560,-0.030907298268061822,0.002994627418956952,0.29309115561170845,0.002994627418956952
6,1,no_need,fc,40970,-0.03168102808331241,0.0038198300790099893,0.2789922579188272,0.0038198300790099893
8,45,no_need,features,14723136,-0.0214584497280761,-0.0027393314895149956,0.9538271622486103,-0.0027393314895149956
8,45,no_need,classifier,18882560,-0.01159886984919467,-0.0010078493587570847,0.2902653294840912,-0.0010078493587570847
8,45,no_need,fc,40970,-0.00980952860754769,-0.003089918862315244,0.2849843171767256,-0.003089918862315244
9,66,no_need,features,14723136,-0.03263308719240854,0.002165266331546789,1.568879290486991,0.002165266331546789
9,66,no_need,classifier,18882560,-0.014126177189609734,0.0021142962652902497,0.40987970643119015,0.0021142962652902497
9,66,no_need,fc,40970,-0.006627970846238895,0.0021775671493742266,0.3598093456598391,0.0021775671493742266
9,45,no_need,features,14723136,-0.11005981531757314,0.07017143557057892,0.9982355355639905,0.07017143557057892
9,45,no_need,classifier,18882560,-0.010252474862596728,0.0032915844330432265,0.24400712978399042,0.0032915844330432265
9,45,no_need,fc,40970,-0.013223691470557242,0.003541990522535343,0.23291813281121265,0.003541990522535343
10,52,no_support,features,14723136,0.009583882506667862,-0.010453711153896705,1.6774813681513063,-0.010453711153896705
10,52,no_support,classifier,18882560,0.010233349011741666,-0.0008487013969897816,0.38517788469661357,-0.0008487013969897816
10,52,no_support,fc,40970,0.01140773781662574,-8.065863221418113e-05,0.3360296136703985,-8.065863221418113e-05
10,33,no_need,features,14723136,-1.5898744937812808,0.47973938049170783,2.5102684032436313,0.47973938049170783
10,33,no_need,classifier,18882560,-0.0631803222831877,0.019149866729776477,0.520037526868119,0.019149866729776477
10,33,no_need,fc,40970,-0.03755136571089679,0.011647649012957118,0.42706315913025905,0.011647649012957118
