probe_ratio,gap_bin,count,response_cosine_median,response_nre_median,support_sign_agreement,predicted_active_count,predicted_active_helpful_fraction
0.02,gap_le_5,2,0.004640971881561609,0.966589183294985,1.0,0,
0.02,gap_6_10,0,,,,0,
0.02,gap_11_20,0,,,,0,
0.02,gap_gt_20,0,,,,0,
0.05,gap_le_5,2,0.0023364139289154804,0.9281620828519122,1.0,0,
0.05,gap_6_10,0,,,,0,
0.05,gap_11_20,0,,,,0,
0.05,gap_gt_20,0,,,,0,
0.1,gap_le_5,2,0.005724523493677722,0.8804289760459326,1.0,0,
0.1,gap_6_10,0,,,,0,
0.1,gap_11_20,0,,,,0,
0.1,gap_gt_20,0,,,,0,
0.2,gap_le_5,2,0.01599096563174493,0.8118219274593563,1.0,0,
0.2,gap_6_10,0,,,,0,
0.2,gap_11_20,0,,,,0,
0.2,gap_gt_20,0,,,,0,
0.4,gap_le_5,2,0.01980382186592588,0.7435843868901233,1.0,0,
0.4,gap_6_10,0,,,,0,
0.4,gap_11_20,0,,,,0,
0.4,gap_gt_20,0,,,,0,
