round,test_accuracy,round_train_seconds,selected_clients,global_state_sha256,round_shadow_event_count,observer_history_bytes,max_alignment_identity_abs_error,max_response_identity_abs_error,max_epsilon_geometry_abs_error
1,10.100000381469727,34.857632800005376,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]",0df79ec2f5201593309a4cc20f26462f96986897eaf19edab3f55a7ae5bcc519,0,403759992,nan,nan,nan
2,12.739999771118164,18.29191800003173,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]",a973e3cd5892f5dbdf98bb4e4b09cca92264f3821fc15e32ab552dab00f4d569,0,942106648,nan,nan,nan
3,14.130000114440918,18.379062000021804,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]",1bdd0033f343aecd059b65be13bd6fdfc13401872f43219858181cae707bbb9c,0,1211279976,nan,nan,nan
4,21.100000381469727,18.517007899994496,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]",4102be913711319c0c3b72a2412a7205959c20131792e91f4e853a2f5a8f423f,0,1480453304,nan,nan,nan
5,39.20000076293945,13.783776899974328,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]",dd2bc17fa97f8addbb2788b2b866e5b34d8371d5f2ba7f7e822b4ccf601e9375,0,1749626632,nan,nan,nan
6,25.530000686645508,20.87117020000005,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]",25bfd3d0c3af8d42acf3eb0cfdd9212ee809819e75c44407a166ec70c7ad7088,0,2287973288,nan,nan,nan
7,35.86000061035156,17.327559900004417,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]",7bcf7e71c4b8da2bf00f3d7e289233632d983efff6c3ff2715f6ab1d96ad6fdc,0,2557146616,nan,nan,nan
8,27.450000762939453,27.339583799999673,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]",f8477cf2a2647e78bbc6fcd08dec2285cec41e9553f2594bac379bb41387f409,5,2557146616,1.2965756823659497e-08,2.1762698310112683e-08,0.0005996048450470082
9,37.45000076293945,29.22424399998272,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]",d71a8871d5604218989d30847990992a6c01e11f363c5910bf1a0075d4345c64,5,2557146616,1.0760511717127288e-08,2.3137094018466087e-08,0.00068686604499818
10,33.25,24.24164500000188,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]",7955afbb55cccfe4fc4986f0998e052f07edf265bbb1ea500545cac378f12408,0,2691733280,nan,nan,nan
