round,test_accuracy,round_train_seconds,selected_clients,global_state_sha256,round_shadow_event_count,observer_history_bytes,max_alignment_identity_abs_error,max_response_identity_abs_error,max_epsilon_geometry_abs_error
1,10.100000381469727,35.13239699997939,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]",0df79ec2f5201593309a4cc20f26462f96986897eaf19edab3f55a7ae5bcc519,0,403759992,nan,nan,nan
2,12.739999771118164,18.90012459998252,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]",a973e3cd5892f5dbdf98bb4e4b09cca92264f3821fc15e32ab552dab00f4d569,0,942106648,nan,nan,nan
3,14.130000114440918,19.08938159997342,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]",1bdd0033f343aecd059b65be13bd6fdfc13401872f43219858181cae707bbb9c,0,1211279976,nan,nan,nan
4,21.100000381469727,19.70624080003472,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]",4102be913711319c0c3b72a2412a7205959c20131792e91f4e853a2f5a8f423f,0,1480453304,nan,nan,nan
5,39.20000076293945,14.470114000025205,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]",dd2bc17fa97f8addbb2788b2b866e5b34d8371d5f2ba7f7e822b4ccf601e9375,0,1749626632,nan,nan,nan
6,25.530000686645508,24.637153200048488,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]",25bfd3d0c3af8d42acf3eb0cfdd9212ee809819e75c44407a166ec70c7ad7088,0,2287973288,nan,nan,nan
7,35.86000061035156,19.48452019999968,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]",7bcf7e71c4b8da2bf00f3d7e289233632d983efff6c3ff2715f6ab1d96ad6fdc,0,2557146616,nan,nan,nan
8,27.450000762939453,30.51207880000584,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]",f8477cf2a2647e78bbc6fcd08dec2285cec41e9553f2594bac379bb41387f409,5,2557146616,1.2965756823659497e-08,2.1762698310112683e-08,0.0005996048450470082
9,37.45000076293945,32.345520699978806,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]",d71a8871d5604218989d30847990992a6c01e11f363c5910bf1a0075d4345c64,5,2557146616,1.0760511717127288e-08,2.3137094018466087e-08,0.00068686604499818
10,33.25,27.36493750003865,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]",7955afbb55cccfe4fc4986f0998e052f07edf265bbb1ea500545cac378f12408,0,2691733280,nan,nan,nan
11,45.34000015258789,22.081460000015795,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]",7d6d2b5b6ab154db8a3dd1ed2a9301363f68e28998619920bda31447dcc3fec7,0,2826319944,nan,nan,nan
12,40.439998626708984,25.220296299958136,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]",c926dfc3ea9b971ff0926b809e9fb4234a934b1d5a8a65c62b4d5f7bba185e76,5,2960906608,4.376742434621106e-09,1.3345297311673221e-08,3.799200057980068e-05
13,44.630001068115234,26.20601369999349,"[70, 75, 5, 68, 36, 79, 72, 78, 57, 44]",4aeb5e6e017118b1de7834acb15b253bca1db67f4e47b451a9b74dec632a2bf3,0,3095493272,nan,nan,nan
14,48.47999954223633,51.168893399997614,"[41, 9, 30, 89, 40, 49, 3, 22, 8, 16]",f4d1635a67082995a740514a3c4d275211e79e865529ce3344edd3a0a7785f8d,10,3095493272,2.8908258742094822e-08,3.616123578353836e-08,0.0014559984207154208
15,47.86000061035156,22.668861200043466,"[82, 28, 69, 81, 56, 71, 85, 27, 37, 66]",2de66194ac7e8c19e6f241f5292672cb8155b34138600d863e4315e899fda168,0,3095493272,nan,nan,nan
16,51.560001373291016,20.244556799996644,"[60, 13, 26, 12, 1, 28, 88, 86, 11, 43]",2c4c6098277d671065bbd64b734797982e53c8269cfd5e4b103df0306b78ba69,0,3230079936,nan,nan,nan
17,50.029998779296875,26.926163399999496,"[93, 16, 72, 75, 10, 4, 38, 71, 42, 62]",d37f24dfc9d0a6c42edcb0be7f1761530d285218d300e474f340ca4c05f650bc,5,3499253264,5.084681165262034e-09,2.205770144314556e-08,0.0007048964500427912
18,39.619998931884766,42.25277160003316,"[36, 47, 1, 64, 57, 97, 29, 6, 67, 92]",53421b4a0c83b8fa205de0832e11736df1df1119d90396501fc636f14e4e145f,5,3768426592,2.5667120694475298e-08,5.1891863250830284e-08,0.0014927864074707475
19,47.45000076293945,23.462529100012034,"[48, 87, 17, 57, 22, 81, 4, 51, 94, 63]",b043f92c6962d44c96a16ae729e6b3b076cbfe5c3aecfd97ae85d38623007336,0,3768426592,nan,nan,nan
20,46.130001068115234,24.66584030003287,"[9, 17, 59, 11, 2, 95, 68, 28, 60, 14]",d5bf1c55aaaaa39cc5ce29a08f301d215a68e35b6fca0cc8b7bf0916ab0e66b9,0,3768426592,nan,nan,nan
21,52.900001525878906,31.220480900024995,"[26, 25, 15, 93, 45, 54, 68, 90, 76, 10]",4514128addcc133f996dcd762525064baee9236870f716580bbdce2ce801e0c2,5,3768426592,1.1437063918325052e-08,9.52551548749625e-09,5.902417004108318e-05
22,59.59000015258789,21.415791100007482,"[84, 74, 93, 1, 48, 44, 29, 26, 94, 75]",9db2dadc7b552c256ecb65c3495738fee25e136a05592761fdb5d2fceefe0df1,0,3903013256,nan,nan,nan
23,50.72999954223633,21.557113700022455,"[71, 58, 50, 22, 59, 84, 10, 70, 43, 67]",1a5a73a567a93a0a06ea2942daa7090b6eff7dc50a420916d1ffc00d0695a22f,0,4172186584,nan,nan,nan
24,55.380001068115234,29.423404499946628,"[70, 54, 33, 75, 31, 58, 17, 6, 3, 51]",790411ecff85b8842cf481f9dde217ecd2fd5c3e6232fca763fc749cc5343a6f,0,4306773248,nan,nan,nan
25,57.349998474121094,58.53908999997657,"[42, 87, 33, 36, 30, 84, 78, 98, 71, 75]",a4f8e553123bfc000dc6f95cc515de650cd5007d0da971e3fa4823c9c5b10031,10,4441359912,2.898161000075561e-08,3.042132590280744e-08,0.0003276705741882546
26,54.709999084472656,39.96584489999805,"[41, 47, 34, 10, 51, 11, 50, 16, 86, 64]",9b1bb987fe6d3857e36b5bda145a54f467f34bf7aefba595e57dd2432e34a38d,5,4441359912,1.5622666625636494e-08,4.527585772962084e-08,0.0013116359710694248
27,55.59000015258789,46.495629300014116,"[58, 82, 63, 50, 98, 84, 4, 46, 65, 88]",e188aef360c9e9ea595c7e8d875973e763a92286b3cd73b593786b4930a104a1,5,4441359912,3.3328341065251565e-08,2.1488784085477164e-08,3.5208463668834344e-05
28,54.58000183105469,37.29210469999816,"[99, 88, 69, 16, 46, 29, 90, 91, 4, 45]",d43d1c5ebadc386a38711f0da5e3f321a7e26d0039aa29ad464875e4c880dd7d,10,4441359912,1.826845128513957e-08,2.34588881653508e-08,0.0006162524223327637
29,51.380001068115234,26.38030829996569,"[80, 73, 28, 34, 1, 10, 13, 65, 5, 49]",fecea498295e1ad396f941628e426e8c2968f57f87c4b1d5ce9426b844000498,0,4441359912,nan,nan,nan
30,57.099998474121094,21.14922530000331,"[62, 41, 74, 11, 99, 8, 75, 26, 81, 85]",841e988d327fd3e131ee586dc7d90a6dd4f4eef6a026c957fc3e0b7a48844a3c,0,4441359912,nan,nan,nan
31,59.209999084472656,18.258391399984248,"[96, 81, 77, 83, 14, 50, 13, 67, 53, 91]",a4a22a02df576dc3282d60e36adfdd3d9298818d3dfac016f315bd9433419af4,0,4441359912,nan,nan,nan
32,61.2599983215332,34.87015839997912,"[40, 73, 70, 3, 6, 94, 1, 25, 20, 10]",58cab30f09199353d75449de545224da1c288699d3ab7dc8316b83fe0a88b6fd,5,4441359912,4.6616719373560045e-09,3.5505113515910125e-08,0.0003292858600616455
33,58.9900016784668,54.324675400042906,"[45, 16, 51, 88, 17, 78, 36, 44, 21, 62]",82e43d38b7b351ede19396ad07e654e1269a8b08ad62d76e149da96c3b768eda,10,4441359912,2.979804861538704e-08,4.394703623233909e-08,0.001103556156158425
34,66.94999694824219,55.68584379996173,"[92, 43, 97, 61, 58, 67, 1, 98, 30, 75]",5e03d692dff51130d9fcfec69e1a9343df664e0f0e1ad91301bf9f2020d6ec94,10,4441359912,4.8726839540699785e-08,2.5237579137638022e-08,0.0021000385284424272
35,56.439998626708984,23.22645309998188,"[31, 89, 17, 66, 92, 23, 96, 9, 35, 20]",a0ba39618e7c660716429354313a6c8b05e80c233ae9b5cb6cb5f28011956def,0,4441359912,nan,nan,nan
36,57.31999969482422,29.632889700005762,"[72, 68, 65, 28, 23, 85, 16, 60, 73, 78]",3a7d5962c61b6bb2fcab9b195a07aced8ece79d0cb0a864dab60a154d5888d22,0,4441359912,nan,nan,nan
37,64.27999877929688,22.90336150000803,"[66, 49, 62, 9, 84, 68, 74, 3, 44, 71]",973c6fd5ba41ab09c9e14e362e6ce465e1b0e0630e3e71c511da968a380fd3fb,0,4441359912,nan,nan,nan
38,60.810001373291016,23.915070799994282,"[50, 73, 27, 38, 8, 53, 21, 14, 28, 64]",11de3f9cfc34e9338470014c287bd48d9eedf262ae2cf14611fd4e213ea2060a,5,4441359912,1.4097508583242602e-08,7.1395516165750905e-09,0.00043774843215949044
39,59.29999923706055,36.3333967999788,"[48, 87, 40, 59, 3, 10, 75, 35, 49, 89]",5c0d472ae1879feca4bc1c2ab14bbf53a8b895e7dde9f643c697d06071e16cba,5,4441359912,2.8793825634790618e-08,1.642495028875146e-08,0.00013370484113693626
40,66.27999877929688,59.26087910000933,"[83, 93, 34, 60, 90, 45, 42, 41, 91, 36]",9f61d9eb87ac0a792f9e557933ccc4a9876d4df2eedf9bdefb4055ad9275c3f6,15,4441359912,2.6429177734342557e-08,4.2682966494567154e-08,0.0009746909141541416
41,67.55999755859375,22.45694479998201,"[75, 52, 20, 80, 90, 93, 4, 51, 13, 98]",282e08df2a5e4c14741650bee3c2490abf027f7f53ec463eca022558de90921f,0,4441359912,nan,nan,nan
42,60.83000183105469,56.568475599982776,"[98, 79, 17, 10, 3, 12, 29, 26, 54, 58]",999670b7fa6188da4940db6a8bd92cfb9eeea89ba74b136217ae6a074f07b1c3,10,4441359912,2.2384991571738205e-08,2.8798249118722197e-08,0.0014869332313537376
43,61.2400016784668,40.402007500000764,"[32, 15, 47, 9, 7, 16, 24, 57, 71, 28]",c8fa125b9040491e5b9cf1f8953dafed2cd8661562e853d398fe1bf465f9e484,5,4441359912,9.31419889675135e-09,3.3747621586144305e-08,0.00038232803344728783
44,60.61000061035156,21.14637450000737,"[76, 67, 81, 35, 44, 49, 32, 99, 69, 51]",13643db029598574b26e19b5b351630e20f073363766c0e46c4d777f24b45d80,0,4441359912,nan,nan,nan
