round,B0_accuracy,alt_accuracy,alt_minus_B0_pp,returning_client_rate,flip_fraction,reset_recovery_coeff_mean_I,reset_recovery_coeff_mean_F,reset_residual_ratio_mean_I,reset_residual_ratio_mean_F
1,10.0,10.0,0.0,0.0,0.6,-6.053470736876677e-05,-3.5297272067883906e-05,1.000540845080855,1.0005747806518992
2,13.229999542236328,14.329999923706055,1.1000003814697266,0.1,0.7,-3.380870104483231e-05,-2.3879278217207417e-06,1.000330810153903,1.0005226830043545
3,12.229999542236328,11.520000457763672,-0.7099990844726562,0.3,0.5,7.330317485338442e-06,3.845874010578546e-05,1.0004835424573224,1.000443766957444
4,16.290000915527344,17.360000610351562,1.0699996948242188,0.2,0.6,-7.860222408844555e-06,9.784212808867152e-05,1.0005493251587356,1.000440518995541
5,32.41999816894531,30.610000610351562,-1.80999755859375,0.6,0.5,0.00011446581621170888,5.988208114312424e-05,1.0002338556495052,1.0001845459917336
6,17.6200008392334,16.600000381469727,-1.0200004577636719,0.3,0.4,4.82322895379368e-05,3.5157497464666996e-05,1.000651965138061,1.0004731957981488
7,24.139999389648438,22.110000610351562,-2.029998779296875,0.1,0.2,0.00010425805974347804,-1.108161725558221e-05,1.0006064120537659,1.0002304574597902
8,23.68000030517578,23.479999542236328,-0.20000076293945312,0.8,0.5,-1.1906994568855618e-05,2.4806273756646935e-05,1.0006744744617149,1.0005678297037277
9,30.1299991607666,30.34000015258789,0.21000099182128906,0.7,0.6,5.611101937818602e-05,0.00011797309502162176,1.0009755116311965,1.0006082983368694
10,29.729999542236328,28.81999969482422,-0.9099998474121094,0.6,0.4,0.0001900497858893259,0.00013954045263824333,1.0007384083376452,1.0007392808239173
11,38.22999954223633,40.209999084472656,1.9799995422363281,0.6,0.6,0.0001310573487579054,9.843291307890104e-05,1.0005015826071415,1.0006303745350993
12,36.90999984741211,35.7400016784668,-1.1699981689453125,0.9,0.6,0.0001115112982923865,0.0001138236265099109,1.0004072048141777,1.0006845827013633
13,38.220001220703125,34.59000015258789,-3.6300010681152344,0.7,0.4,0.00015224502909110376,0.00017397845143891065,1.0007605715176435,1.000878627463929
14,46.650001525878906,45.439998626708984,-1.2100028991699219,0.8,0.5,6.90661533878381e-05,0.00013024688084253816,1.0008620784250202,1.0005311841182019
15,45.459999084472656,46.11000061035156,0.6500015258789062,0.8,0.3,7.55698132129572e-05,0.00015137717820295777,1.0006634887259618,1.0004949383872601
16,46.720001220703125,47.040000915527344,0.31999969482421875,0.9,0.5,4.582350034287255e-05,9.127205163375524e-05,1.0008932587704502,1.000406303936832
17,45.529998779296875,48.40999984741211,2.8800010681152344,0.9,0.3,0.00016999222289886372,0.0001328698293036696,1.0006208690024958,1.0006607245041792
18,35.709999084472656,36.0099983215332,0.2999992370605469,0.6,0.6,0.00010339175056600595,0.00011398589943812015,1.0004929300513363,1.002049834068007
19,44.220001220703125,44.86000061035156,0.6399993896484375,0.7,0.7,7.130343385833639e-05,7.34337285525459e-05,1.0007369342553931,1.0005728332318993
20,45.060001373291016,40.88999938964844,-4.170001983642578,0.8,0.5,0.00010313599349663489,0.00020494140325334515,1.000396130074463,1.001154170584098
21,52.31999969482422,52.4900016784668,0.17000198364257812,0.9,0.7,0.00037656914451375127,0.00013843369569348978,1.0007431683608392,1.000697589200812
22,56.310001373291016,55.040000915527344,-1.2700004577636719,1.0,0.7,0.00024314505789483192,0.00017039231640954928,1.0006526976179009,1.0005380329392457
23,49.59000015258789,50.70000076293945,1.1100006103515625,0.9,0.4,0.00021391800693008095,0.00010485310230293502,1.0009734563440251,1.0006466215564702
