round,algorithm,seed,test_accuracy,peak_accuracy_so_far,round_train_seconds,selected_clients,assignments,task_ids,task_seeds,views,flip_fraction,alt_violations,returning_client_rate,mean_visit_index,max_visit_index,first_time_client_count,returning_client_count,first_time_F_fraction,returning_F_fraction,I_client_count,F_client_count,reset_action_norm_mean_I,reset_action_norm_median_I,reset_response_norm_mean_I,reset_response_norm_median_I,reset_recovery_coeff_mean_I,reset_recovery_coeff_median_I,reset_recovery_cosine_mean_I,reset_recovery_cosine_median_I,reset_residual_ratio_mean_I,reset_residual_ratio_median_I,reset_action_norm_mean_F,reset_action_norm_median_F,reset_response_norm_mean_F,reset_response_norm_median_F,reset_recovery_coeff_mean_F,reset_recovery_coeff_median_F,reset_recovery_cosine_mean_F,reset_recovery_cosine_median_F,reset_residual_ratio_mean_F,reset_residual_ratio_median_F
1,SymmetryFedPhoenix,1,10.0,10.0,12.142315100005362,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[{""client_id"": 80, ""task_id"": 0}, {""client_id"": 84, ""task_id"": 1}, {""client_id"": 33, ""task_id"": 2}, {""client_id"": 81, ""task_id"": 3}, {""client_id"": 93, ""task_id"": 4}, {""client_id"": 17, ""task_id"": 5}, {""client_id"": 36, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 65, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]","[""F"", ""I"", ""I"", ""F"", ""F"", ""I"", ""F"", ""I"", ""F"", ""F""]",0.6,0,0.0,1.0,1,10,0,0.6,,4,6,6.630234875167301,6.627850070502739,0.20388277186194567,0.20426170266242383,-6.053470736876677e-05,-4.133591646489336e-05,-0.001613243991930086,-0.0011257123852122654,1.000540845080855,1.000513577866399,6.6324553407075415,6.63273440994832,0.21623943927448566,0.21580579359821084,-3.5297272067883906e-05,-3.642178779871497e-05,-0.0009351856766072708,-0.001122410956035721,1.0005747806518992,1.0005560541413634
2,SymmetryFedPhoenix,1,14.329999923706055,14.329999923706055,6.78119730000617,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 96, ""task_id"": 1}, {""client_id"": 1, ""task_id"": 2}, {""client_id"": 35, ""task_id"": 3}, {""client_id"": 26, ""task_id"": 4}, {""client_id"": 11, ""task_id"": 5}, {""client_id"": 38, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 87, ""task_id"": 8}, {""client_id"": 3, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]","[""F"", ""F"", ""I"", ""F"", ""F"", ""F"", ""I"", ""F"", ""I"", ""F""]",0.7,0,0.1,1.1,2,9,1,0.6666666666666666,1.0,3,7,6.539877695129447,6.55801530213752,0.15724343063303023,0.14141018567507585,-3.380870104483231e-05,1.4521245878132075e-06,-0.0009173534849226693,6.980552683285424e-05,1.000330810153903,1.0002148953328789,6.540885182406969,6.547518835218963,0.20846522239659906,0.21893628108824675,-2.3879278217207417e-06,3.218295091380493e-05,0.0001694853366904769,0.0010857366744407122,1.0005226830043545,1.0005292579743135
3,SymmetryFedPhoenix,1,11.520000457763672,14.329999923706055,6.938342500012368,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[{""client_id"": 95, ""task_id"": 0}, {""client_id"": 67, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 71, ""task_id"": 3}, {""client_id"": 1, ""task_id"": 4}, {""client_id"": 80, ""task_id"": 5}, {""client_id"": 99, ""task_id"": 6}, {""client_id"": 45, ""task_id"": 7}, {""client_id"": 52, ""task_id"": 8}, {""client_id"": 27, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]","[""F"", ""I"", ""I"", ""F"", ""F"", ""I"", ""F"", ""I"", ""I"", ""F""]",0.5,0,0.3,1.3,2,7,3,0.5714285714285714,0.3333333333333333,5,5,6.46613975896471,6.464310579298423,0.19362150007429346,0.1735908486464687,7.330317485338442e-06,-3.410407546148675e-05,0.0008868553133674387,-0.0009664577837954288,1.0004835424573224,1.0003916797934675,6.459056713471786,6.460498407470069,0.19119108256119396,0.1714270038284567,3.845874010578546e-05,3.775156264959761e-05,0.001895498559262005,0.0012661575556654429,1.000443766957444,1.0003799074694266
4,SymmetryFedPhoenix,1,17.360000610351562,17.360000610351562,7.562252000003355,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[{""client_id"": 40, ""task_id"": 0}, {""client_id"": 10, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 66, ""task_id"": 3}, {""client_id"": 89, ""task_id"": 4}, {""client_id"": 32, ""task_id"": 5}, {""client_id"": 95, ""task_id"": 6}, {""client_id"": 55, ""task_id"": 7}, {""client_id"": 25, ""task_id"": 8}, {""client_id"": 5, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]","[""F"", ""F"", ""F"", ""F"", ""I"", ""F"", ""I"", ""I"", ""F"", ""I""]",0.6,0,0.2,1.3,3,8,2,0.625,0.5,4,6,6.34602548566953,6.348018760181548,0.2042963566496782,0.20968616453919187,-7.860222408844555e-06,-4.8709269460648744e-05,-0.0009127157964609165,-0.0014432286465555868,1.0005493251587356,1.000555349935679,6.363744962006287,6.364380900585533,0.20349996534354242,0.2051427842575862,9.784212808867152e-05,9.439866065199303e-05,0.003217561542106039,0.0032233134410104827,1.000440518995541,1.0004654833063589
5,SymmetryFedPhoenix,1,30.610000610351562,30.610000610351562,5.568450799997663,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[{""client_id"": 89, ""task_id"": 0}, {""client_id"": 99, ""task_id"": 1}, {""client_id"": 45, ""task_id"": 2}, {""client_id"": 96, ""task_id"": 3}, {""client_id"": 72, ""task_id"": 4}, {""client_id"": 9, ""task_id"": 5}, {""client_id"": 74, ""task_id"": 6}, {""client_id"": 88, ""task_id"": 7}, {""client_id"": 1, ""task_id"": 8}, {""client_id"": 38, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]","[""F"", ""I"", ""F"", ""I"", ""F"", ""I"", ""F"", ""I"", ""I"", ""F""]",0.5,0,0.6,1.9,4,4,6,0.5,0.5,5,5,6.271416064815828,6.260006698669327,0.16381204375175357,0.1547805155378809,0.00011446581621170888,9.955846763105218e-05,0.004063142130638945,0.004382251755456285,1.0002338556495052,1.0002413504067897,6.2774934257873,6.267394096222509,0.13742234105589052,0.13579877464471762,5.988208114312424e-05,2.9891635117745385e-05,0.0026380644564049475,0.0015110508466065684,1.0001845459917336,1.0001524089285305
6,SymmetryFedPhoenix,1,16.600000381469727,30.610000610351562,8.464658199984115,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[{""client_id"": 0, ""task_id"": 0}, {""client_id"": 86, ""task_id"": 1}, {""client_id"": 4, ""task_id"": 2}, {""client_id"": 23, ""task_id"": 3}, {""client_id"": 24, ""task_id"": 4}, {""client_id"": 1, ""task_id"": 5}, {""client_id"": 62, ""task_id"": 6}, {""client_id"": 83, ""task_id"": 7}, {""client_id"": 66, ""task_id"": 8}, {""client_id"": 93, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]","[""I"", ""F"", ""F"", ""F"", ""I"", ""F"", ""I"", ""I"", ""I"", ""I""]",0.4,0,0.3,1.5,4,7,3,0.42857142857142855,0.3333333333333333,6,4,6.1845194331005215,6.18096831665002,0.2273233815080118,0.22675423713909182,4.82322895379368e-05,5.952755868400986e-05,0.0017547380224763667,0.0015750651575141108,1.000651965138061,1.0006249631708835,6.186225422300955,6.185261045091719,0.19335148050479742,0.18717367996723816,3.5157497464666996e-05,3.970927258978454e-05,0.0014424902847177724,0.0015631012262296421,1.0004731957981488,1.0004324736818926
7,SymmetryFedPhoenix,1,22.110000610351562,30.610000610351562,7.117871700000251,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[{""client_id"": 6, ""task_id"": 0}, {""client_id"": 59, ""task_id"": 1}, {""client_id"": 72, ""task_id"": 2}, {""client_id"": 30, ""task_id"": 3}, {""client_id"": 91, ""task_id"": 4}, {""client_id"": 43, ""task_id"": 5}, {""client_id"": 75, ""task_id"": 6}, {""client_id"": 76, ""task_id"": 7}, {""client_id"": 15, ""task_id"": 8}, {""client_id"": 61, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]","[""I"", ""I"", ""I"", ""F"", ""I"", ""F"", ""I"", ""I"", ""I"", ""I""]",0.2,0,0.1,1.1,2,9,1,0.2222222222222222,0.0,8,2,6.126587255806736,6.128418801918032,0.22175066991502596,0.20922215266863614,0.00010425805974347804,8.890146737623581e-05,0.002720277643506741,0.0023996384913765323,1.0006064120537659,1.0005421201700329,6.133535291574615,6.133535291574615,0.1254241158788369,0.1254241158788369,-1.108161725558221e-05,-1.108161725558221e-05,0.0005491929400058657,0.0005491929400058657,1.0002304574597902,1.0002304574597902
8,SymmetryFedPhoenix,1,23.479999542236328,30.610000610351562,7.592135999992024,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 88, ""task_id"": 1}, {""client_id"": 74, ""task_id"": 2}, {""client_id"": 48, ""task_id"": 3}, {""client_id"": 59, ""task_id"": 4}, {""client_id"": 79, ""task_id"": 5}, {""client_id"": 25, ""task_id"": 6}, {""client_id"": 52, ""task_id"": 7}, {""client_id"": 45, ""task_id"": 8}, {""client_id"": 55, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]","[""I"", ""F"", ""I"", ""I"", ""F"", ""F"", ""I"", ""F"", ""I"", ""F""]",0.5,0,0.8,1.9,3,2,8,0.5,0.5,5,5,6.030467936325117,6.050736085595808,0.21011819136649296,0.22545213071357337,-1.1906994568855618e-05,-1.1635938928749997e-06,-0.00028811400847669066,-5.3595715502919375e-05,1.0006744744617149,1.000806702881084,6.002481376834001,6.01004242931517,0.20320471962158582,0.1772587335160735,2.4806273756646935e-05,5.910321452421992e-05,0.0009905881822531758,0.001988794715645655,1.0005678297037277,1.00039983342103
9,SymmetryFedPhoenix,1,30.34000015258789,30.610000610351562,8.302102599991485,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[{""client_id"": 3, ""task_id"": 0}, {""client_id"": 60, ""task_id"": 1}, {""client_id"": 35, ""task_id"": 2}, {""client_id"": 33, ""task_id"": 3}, {""client_id"": 22, ""task_id"": 4}, {""client_id"": 66, ""task_id"": 5}, {""client_id"": 45, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 67, ""task_id"": 8}, {""client_id"": 75, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]","[""I"", ""I"", ""I"", ""F"", ""F"", ""F"", ""F"", ""I"", ""F"", ""F""]",0.6,0,0.7,2.0,4,3,7,0.3333333333333333,0.7142857142857143,4,6,5.90222922221178,5.893455961212821,0.263876037097322,0.2622354184670645,5.611101937818602e-05,8.347578468683588e-05,0.001429843721453223,0.001843469036305596,1.0009755116311965,1.0009359328911887,5.940956286479232,5.934346602125227,0.22177655460069642,0.21549041048034007,0.00011797309502162176,0.0001320415775991117,0.003289280649940068,0.0035098815524503995,1.0006082983368694,1.0004487138142508
10,SymmetryFedPhoenix,1,28.81999969482422,30.610000610351562,9.744779600005131,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[{""client_id"": 64, ""task_id"": 0}, {""client_id"": 91, ""task_id"": 1}, {""client_id"": 12, ""task_id"": 2}, {""client_id"": 52, ""task_id"": 3}, {""client_id"": 16, ""task_id"": 4}, {""client_id"": 65, ""task_id"": 5}, {""client_id"": 50, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 33, ""task_id"": 8}, {""client_id"": 30, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]","[""F"", ""F"", ""I"", ""I"", ""I"", ""I"", ""F"", ""F"", ""I"", ""I""]",0.4,0,0.6,1.8,3,4,6,0.5,0.3333333333333333,6,4,5.86977023764996,5.866166079573681,0.24926721890963832,0.2533477354658066,0.0001900497858893259,0.00020149852455046945,0.0039582829394426535,0.004448271871554416,1.0007384083376452,1.000693174586135,5.862247035345501,5.863526565068737,0.23724763459619033,0.23557837914077454,0.00013954045263824333,0.00019127188137328785,0.003164770669523613,0.004277511611927901,1.0007392808239173,1.0007729682379631
