round,algorithm,seed,test_accuracy,peak_accuracy_so_far,round_train_seconds,selected_clients,assignments,task_ids,task_seeds,views,flip_fraction,alt_violations
1,SymmetryFedPhoenix,1,10.0,10.0,14.439074800000526,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[{""client_id"": 80, ""task_id"": 0}, {""client_id"": 84, ""task_id"": 1}, {""client_id"": 33, ""task_id"": 2}, {""client_id"": 81, ""task_id"": 3}, {""client_id"": 93, ""task_id"": 4}, {""client_id"": 17, ""task_id"": 5}, {""client_id"": 36, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 65, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]","[""F"", ""I"", ""I"", ""F"", ""F"", ""I"", ""F"", ""I"", ""F"", ""F""]",0.6,0
2,SymmetryFedPhoenix,1,14.329999923706055,14.329999923706055,8.002291300013894,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 96, ""task_id"": 1}, {""client_id"": 1, ""task_id"": 2}, {""client_id"": 35, ""task_id"": 3}, {""client_id"": 26, ""task_id"": 4}, {""client_id"": 11, ""task_id"": 5}, {""client_id"": 38, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 87, ""task_id"": 8}, {""client_id"": 3, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]","[""F"", ""F"", ""I"", ""F"", ""F"", ""F"", ""I"", ""F"", ""I"", ""F""]",0.7,0
3,SymmetryFedPhoenix,1,11.520000457763672,14.329999923706055,8.019333500007633,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[{""client_id"": 95, ""task_id"": 0}, {""client_id"": 67, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 71, ""task_id"": 3}, {""client_id"": 1, ""task_id"": 4}, {""client_id"": 80, ""task_id"": 5}, {""client_id"": 99, ""task_id"": 6}, {""client_id"": 45, ""task_id"": 7}, {""client_id"": 52, ""task_id"": 8}, {""client_id"": 27, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]","[""F"", ""I"", ""I"", ""F"", ""F"", ""I"", ""F"", ""I"", ""I"", ""F""]",0.5,0
4,SymmetryFedPhoenix,1,17.360000610351562,17.360000610351562,8.714217200002167,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[{""client_id"": 40, ""task_id"": 0}, {""client_id"": 10, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 66, ""task_id"": 3}, {""client_id"": 89, ""task_id"": 4}, {""client_id"": 32, ""task_id"": 5}, {""client_id"": 95, ""task_id"": 6}, {""client_id"": 55, ""task_id"": 7}, {""client_id"": 25, ""task_id"": 8}, {""client_id"": 5, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]","[""F"", ""F"", ""F"", ""F"", ""I"", ""F"", ""I"", ""I"", ""F"", ""I""]",0.6,0
5,SymmetryFedPhoenix,1,30.610000610351562,30.610000610351562,6.252860500011593,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[{""client_id"": 89, ""task_id"": 0}, {""client_id"": 99, ""task_id"": 1}, {""client_id"": 45, ""task_id"": 2}, {""client_id"": 96, ""task_id"": 3}, {""client_id"": 72, ""task_id"": 4}, {""client_id"": 9, ""task_id"": 5}, {""client_id"": 74, ""task_id"": 6}, {""client_id"": 88, ""task_id"": 7}, {""client_id"": 1, ""task_id"": 8}, {""client_id"": 38, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]","[""F"", ""I"", ""F"", ""I"", ""F"", ""I"", ""F"", ""I"", ""I"", ""F""]",0.5,0
6,SymmetryFedPhoenix,1,16.600000381469727,30.610000610351562,9.787066599994432,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[{""client_id"": 0, ""task_id"": 0}, {""client_id"": 86, ""task_id"": 1}, {""client_id"": 4, ""task_id"": 2}, {""client_id"": 23, ""task_id"": 3}, {""client_id"": 24, ""task_id"": 4}, {""client_id"": 1, ""task_id"": 5}, {""client_id"": 62, ""task_id"": 6}, {""client_id"": 83, ""task_id"": 7}, {""client_id"": 66, ""task_id"": 8}, {""client_id"": 93, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]","[""I"", ""F"", ""F"", ""F"", ""I"", ""F"", ""I"", ""I"", ""I"", ""I""]",0.4,0
7,SymmetryFedPhoenix,1,22.110000610351562,30.610000610351562,8.231308000016725,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[{""client_id"": 6, ""task_id"": 0}, {""client_id"": 59, ""task_id"": 1}, {""client_id"": 72, ""task_id"": 2}, {""client_id"": 30, ""task_id"": 3}, {""client_id"": 91, ""task_id"": 4}, {""client_id"": 43, ""task_id"": 5}, {""client_id"": 75, ""task_id"": 6}, {""client_id"": 76, ""task_id"": 7}, {""client_id"": 15, ""task_id"": 8}, {""client_id"": 61, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]","[""I"", ""I"", ""I"", ""F"", ""I"", ""F"", ""I"", ""I"", ""I"", ""I""]",0.2,0
8,SymmetryFedPhoenix,1,23.479999542236328,30.610000610351562,8.802598300011596,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 88, ""task_id"": 1}, {""client_id"": 74, ""task_id"": 2}, {""client_id"": 48, ""task_id"": 3}, {""client_id"": 59, ""task_id"": 4}, {""client_id"": 79, ""task_id"": 5}, {""client_id"": 25, ""task_id"": 6}, {""client_id"": 52, ""task_id"": 7}, {""client_id"": 45, ""task_id"": 8}, {""client_id"": 55, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]","[""I"", ""F"", ""I"", ""I"", ""F"", ""F"", ""I"", ""F"", ""I"", ""F""]",0.5,0
9,SymmetryFedPhoenix,1,30.34000015258789,30.610000610351562,9.597955200006254,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[{""client_id"": 3, ""task_id"": 0}, {""client_id"": 60, ""task_id"": 1}, {""client_id"": 35, ""task_id"": 2}, {""client_id"": 33, ""task_id"": 3}, {""client_id"": 22, ""task_id"": 4}, {""client_id"": 66, ""task_id"": 5}, {""client_id"": 45, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 67, ""task_id"": 8}, {""client_id"": 75, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]","[""I"", ""I"", ""I"", ""F"", ""F"", ""F"", ""F"", ""I"", ""F"", ""F""]",0.6,0
10,SymmetryFedPhoenix,1,28.81999969482422,30.610000610351562,11.449613500008127,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[{""client_id"": 64, ""task_id"": 0}, {""client_id"": 91, ""task_id"": 1}, {""client_id"": 12, ""task_id"": 2}, {""client_id"": 52, ""task_id"": 3}, {""client_id"": 16, ""task_id"": 4}, {""client_id"": 65, ""task_id"": 5}, {""client_id"": 50, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 33, ""task_id"": 8}, {""client_id"": 30, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]","[""F"", ""F"", ""I"", ""I"", ""I"", ""I"", ""F"", ""F"", ""I"", ""I""]",0.4,0
