round,algorithm,seed,tfp_target_ratio,tfp_max_history_gap,tfp_score_type,tfp_target_layers,tfp_start_round,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,clients_with_history,clients_history_eligible,clients_targeted,clients_dispatch_changed,clients_cold_start,clients_stale,clients_no_valid_history,clients_no_target_slots,clients_before_start_round,total_reset_slots,targeted_reset_slots,random_reset_slots,actual_target_fraction,baseline_random_overlap_slots,baseline_random_overlap_rate,replaced_reset_slots,mean_history_gap_for_targeted,history_memory_bytes,controller_rng_unchanged,failed_client_updates,residual_total_kernels,residual_valid_kernels,residual_valid_fraction,residual_own_reset_invalid,residual_no_clean_peer_invalid
1,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,10.0,17.482951499987394,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,0,0,0,0,10,0,0,0,0,660,0,660,0.0,0,0.0,0,,211280,True,0,0,0,,0,0
2,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,14.430000305175781,9.794713900002535,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",6c885b77245c99fdd614589ac31b1c81bd2f9f405ae1953238ebdeef5530b959,1,1,1,1,9,0,0,0,0,660,15,645,0.022727272727272728,0,0.0,15,1.0,401432,True,0,0,0,,0,0
3,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,12.819999694824219,10.004657199999201,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",3112f363cb343d37496c744303d15e491dcbdab0341e7b87dddde696976701d7,3,3,3,3,7,0,0,0,0,660,45,615,0.06818181818181818,1,0.022222222222222223,44,1.3333333333333333,549328,True,0,0,0,,0,0
4,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,18.209999084472656,10.960472299993853,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",971b988b8291e264d801ddc010317eb27749f7b6398ea3e0ceac4eef81107e17,2,2,2,2,8,0,0,0,0,660,30,630,0.045454545454545456,2,0.06666666666666667,28,1.0,718352,True,0,0,0,,0,0
5,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,34.119998931884766,8.185356000001775,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",498c27b971c4cf2742359cc865596ed84625fc7ec2ef064ca843ce7216cd5b82,6,6,6,6,4,0,0,0,0,660,90,570,0.13636363636363635,0,0.0,90,1.8333333333333333,802864,True,0,0,0,,0,0
6,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,16.809999465942383,12.439604400002281,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",bdcd596755ce610c1bf909c8574c14ae1358c3b1e292896825fac69c72d305b4,3,3,3,3,7,0,0,0,0,660,45,615,0.06818181818181818,0,0.0,45,2.6666666666666665,950760,True,0,0,0,,0,0
7,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,22.34000015258789,10.30764349999663,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",7c505a3c5c9c0fb201fdf5c903ab2dda9d4b14fa480b8fef664a5b9020b73e35,1,1,1,1,9,0,0,0,0,660,15,645,0.022727272727272728,0,0.0,15,2.0,1140912,True,0,0,0,,0,0
8,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,24.75,11.133686000001035,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",fd3307872d7ecdb361ad6d5a94bd1997a4400d921a8655050faea4833d037fb3,8,8,8,8,2,0,0,0,0,660,120,540,0.18181818181818182,2,0.016666666666666666,118,3.625,1183168,True,0,0,0,,0,0
9,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,30.540000915527344,12.19723669999803,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",5c7b99fa0f6c59b779d8024dd733536d6000590f489b6452b9eb16da25e0ee4b,7,7,7,7,3,0,0,0,0,660,105,555,0.1590909090909091,4,0.0380952380952381,101,4.857142857142857,1246552,True,0,0,0,,0,0
10,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,29.399999618530273,14.287223600011203,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",3009f990fc07cf1f87c2f399d699ab292c9bb5037b0d48d62f0a2dfd89a64db7,6,6,6,6,4,0,0,0,0,660,90,570,0.13636363636363635,1,0.011111111111111112,89,3.1666666666666665,1331064,True,0,0,0,,0,0
11,TargetedFedPhoenix,1,0.25,10,update_norm,all,1,38.040000915527344,13.90401220000058,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[1200031, 1201028, 1202025, 1203022, 1204019, 1205016, 1206013, 1207010, 1208007, 1209004]",887cdad722ee38fb375720363db2f3265e6c7ad4492ed4640933551b7893ee67,6,6,6,6,4,0,0,0,0,660,90,570,0.13636363636363635,1,0.011111111111111112,89,3.6666666666666665,1415576,True,0,0,0,,0,0
