round,algorithm,seed,tfp_target_ratio,tfp_max_history_gap,tfp_score_type,tfp_target_layers,tfp_start_round,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,clients_with_history,clients_history_eligible,clients_targeted,clients_dispatch_changed,clients_cold_start,clients_stale,clients_no_valid_history,clients_no_target_slots,clients_before_start_round,total_reset_slots,targeted_reset_slots,random_reset_slots,actual_target_fraction,baseline_random_overlap_slots,baseline_random_overlap_rate,replaced_reset_slots,mean_history_gap_for_targeted,history_memory_bytes,controller_rng_unchanged,failed_client_updates,residual_total_kernels,residual_valid_kernels,residual_valid_fraction,residual_own_reset_invalid,residual_no_clean_peer_invalid
1,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,10.0,17.158955199993216,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,0,0,0,0,10,0,0,0,0,660,0,660,0.0,0,0.0,0,,211280,True,0,42240,41580,0.984375,660,0
2,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,14.300000190734863,9.535026800003834,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",ce1e6a6204244eadb380b8634a3b9997d1e085868606e80e4839b33f903367d4,1,1,1,1,9,0,0,0,0,660,7,653,0.010606060606060607,0,0.0,7,1.0,401432,True,0,42240,41580,0.984375,660,0
3,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,14.479999542236328,9.773361599989585,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",8f9d80afcbef370129d1a0854059824b7e00d47a115e917db8bd152249770b3a,3,3,3,3,7,0,0,0,0,660,21,639,0.031818181818181815,0,0.0,21,1.3333333333333333,549328,True,0,42240,41580,0.984375,660,0
4,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,17.940000534057617,10.567495700001018,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",ea70c17da6e7cb58e1272f87f5e08087290f2c2d1b192ed20cee54cb0e347435,2,2,2,2,8,0,0,0,0,660,14,646,0.021212121212121213,1,0.07142857142857142,13,1.0,718352,True,0,42240,41580,0.984375,660,0
5,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,34.06999969482422,7.751145499991253,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",1c1c699fd9cc5b8c4fec0aa5d155180397d939696800440be7ddfd8b88b99548,6,6,6,6,4,0,0,0,0,660,42,618,0.06363636363636363,0,0.0,42,1.8333333333333333,802864,True,0,42240,41580,0.984375,660,0
6,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,18.540000915527344,11.623320700004115,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",7ec0b8a90cfe713f6a61ed3f5eeaade571ced3351ccdc02d3fa4864bdba3df96,3,3,3,3,7,0,0,0,0,660,21,639,0.031818181818181815,0,0.0,21,2.6666666666666665,950760,True,0,42240,41580,0.984375,660,0
7,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,25.489999771118164,9.90342669999518,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",260bf3adfbe768d0cd1f5a2f11a4bf6d013df4d2c01f9e78e0c8d93272273f60,1,1,1,1,9,0,0,0,0,660,7,653,0.010606060606060607,0,0.0,7,2.0,1140912,True,0,42240,41580,0.984375,660,0
8,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,24.0,10.702420700006769,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",f52b25f1dc0e768b03abf4f937a294f136ea656f8c44046c866e5a0a21c837a8,8,8,8,8,2,0,0,0,0,660,56,604,0.08484848484848485,0,0.0,56,3.625,1183168,True,0,42240,41580,0.984375,660,0
9,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,31.18000030517578,11.49704400000337,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",2db775240005f97b8a2215f61a4eff0d8a8f6c5683254c3b075d643b8e5c0f18,7,7,7,7,3,0,0,0,0,660,49,611,0.07424242424242425,2,0.04081632653061224,47,4.857142857142857,1246552,True,0,42240,41580,0.984375,660,0
10,TargetedFedPhoenix,1,0.25,10,residual,"features.20,features.24,features.27,features.30",1,30.600000381469727,13.498126000005868,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",d2834c96a7c20574d1986965851c0103793dece1505dc1b678a7d4362eac31c3,6,6,6,6,4,0,0,0,0,660,42,618,0.06363636363636363,3,0.07142857142857142,39,3.1666666666666665,1331064,True,0,42240,41580,0.984375,660,0
