round,algorithm,seed,tfp_target_ratio,tfp_max_history_gap,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,clients_with_history,clients_history_eligible,clients_targeted,clients_dispatch_changed,clients_cold_start,clients_stale,clients_no_valid_history,clients_no_target_slots,total_reset_slots,targeted_reset_slots,random_reset_slots,actual_target_fraction,baseline_random_overlap_slots,baseline_random_overlap_rate,replaced_reset_slots,mean_history_gap_for_targeted,history_memory_bytes,controller_rng_unchanged,failed_client_updates
1,TargetedFedPhoenix,1,0.5,20,10.0,14.7674920999998,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,0,0,0,0,10,0,0,0,660,0,660,0.0,0,0.0,0,,211280,True,0
2,TargetedFedPhoenix,1,0.5,20,14.390000343322754,8.194901399998344,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",852941e54b0060898f9355bb5f0e6194243dede27ce9ab032a51ecbabc613d04,1,1,1,1,9,0,0,0,660,32,628,0.048484848484848485,0,0.0,32,1.0,401432,True,0
3,TargetedFedPhoenix,1,0.5,20,11.90999984741211,8.505247299995972,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",f364f87cf4d352625a788919a43506bb9039d155452f1aba2e42dabcdfb5c45b,3,3,3,3,7,0,0,0,660,96,564,0.14545454545454545,2,0.020833333333333332,94,1.3333333333333333,549328,True,0
4,TargetedFedPhoenix,1,0.5,20,16.309999465942383,9.288590600001044,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",98af6c52f1c55eac0388e0a435f679257446667ca38ca8882b03c4e3944724f9,2,2,2,2,8,0,0,0,660,64,596,0.09696969696969697,2,0.03125,62,1.0,718352,True,0
5,TargetedFedPhoenix,1,0.5,20,33.16999816894531,6.736397999993642,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",85b1bfb0cc2474fe153b3cbd941e7adf91f70c75de734cf43b6864a93e3b725f,6,6,6,6,4,0,0,0,660,192,468,0.2909090909090909,1,0.005208333333333333,191,1.8333333333333333,802864,True,0
6,TargetedFedPhoenix,1,0.5,20,17.850000381469727,10.238219999999274,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",4daf32bb2b27d8af18aac8bca1b90768825ec78c271400a2a8d7d0a36bee0a48,3,3,3,3,7,0,0,0,660,96,564,0.14545454545454545,1,0.010416666666666666,95,2.6666666666666665,950760,True,0
7,TargetedFedPhoenix,1,0.5,20,22.709999084472656,8.595627000002423,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",e1bdab671e295e4b1c48ad596643fb239b8e9b442982c1a90b1f8c4ea6aba4d6,1,1,1,1,9,0,0,0,660,32,628,0.048484848484848485,0,0.0,32,2.0,1140912,True,0
8,TargetedFedPhoenix,1,0.5,20,22.469999313354492,9.246765999996569,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",20e3aec0485f7216ddf513b834600bf655744a8ab8716b912d29e135aea3aed6,8,8,8,8,2,0,0,0,660,256,404,0.3878787878787879,3,0.01171875,253,3.625,1183168,True,0
9,TargetedFedPhoenix,1,0.5,20,30.829999923706055,10.09649989999889,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",76e59ddb4a7e9df8be9fab5eacb0f4a5267124d784d9004107b17c83e768f3e3,7,7,7,7,3,0,0,0,660,224,436,0.3393939393939394,3,0.013392857142857142,221,4.857142857142857,1246552,True,0
10,TargetedFedPhoenix,1,0.5,20,31.549999237060547,11.813048299998627,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",342c7766aaa451852920d0d2fb797157dff630a79275858f443e94e7f25d25aa,6,6,6,6,4,0,0,0,660,192,468,0.2909090909090909,2,0.010416666666666666,190,3.1666666666666665,1331064,True,0
